Order,Exercise_Name_KR,Exercise_Name_EN,Main_Strengthen_Muscles,Main_Stretch_Muscles,How_to_Perform_Step_by_Step_FULL_CLASSICAL,Reps,Breathing_Pattern,Setup_Position,Common_Mistakes_to_Avoid,Classical_Cues_by_Jay_Grimes_Romana,References
11,쏘,Saw,"복사근, 광배근, 능형근, 척추 회전근","햄스트링, 요방형근, 흉곽","1. 다리를 매트 폭으로 벌리고 발끝 플렉스, 팔은 옆으로 길게.  
2. 들이쉬며 척추를 길게 세워 회전, 내쉬며 앞손 새끼손가락으로 반대 발의 새끼발가락을 “톱질”하듯 베어낸다.  
3. 뒷팔은 천장을 향해 뻗어 견갑을 낮추고, 복부를 끌어당겨 허리를 보호.  
4. 들이쉬며 중심으로 돌아와 반대쪽 반복.",3+3,"회전 흡입 – Saw 동작 호흡","Seated, legs wide, arms in T","골반 움직임, 허리 둥글지 않음, 어깨 업","Jay: “Twist first, then saw.” / Romana: “Two nails, two oppositions.”","Return to Life p.54–55"
12,스완 다이브,Swan Dive,"요추 기립근, 대둔근, 햄스트링, 흉추 신전근","복직근, 고관절 굴곡근","1. 엎드려 팔꿈치를 매트에 두고 가슴을 길게 들어 올려 스완 준비.  
2. 숨 들이쉬며 가슴을 더 열고 골반에서 신전, 내쉬며 팔을 뻗어 몸 전체가 흔들리는 스탠딩 스완으로 전환.  
3. 6회 로킹 동안 복부를 당겨 허리를 보호하고 다리를 함께 유지.  
4. 마지막에는 가슴을 길게 열어 내려오며 동작 종료.",6,"앞으로 갈 때 흡입 – 뒤로 올 때 호흡","Prone, legs together, hands under shoulders","허리 꺾기, 다리 벌어짐, 어깨 잔뜩 올림","Jay: “Dive with your sternum, not your chin.” / Romana: “Support with your stomach.”","Return to Life p.56–57, Jay Grimes ‘Don’t Fall’"
13,원 레그 킥,One Leg Kick,"대둔근, 햄스트링, 요추 기립근, 견갑 후방 안정","고관절 굴곡근, 장요근","1. 팔꿈치를 매트에 두고 가슴을 들어 견갑을 포개듯 넓힌다.  
2. 한 다리를 두 번 짧게 킥(“킥-킥”) 하여 둔근을 활성화한 뒤 길게 뻗는다.  
3. 복부와 허벅지 아래쪽이 매트에서 떨어지지 않도록 주의하며 8회 교대.",8+8,"킥-킥 흡입 – 뻗을 때 호흡","Prone on forearms, legs together","요추 과신전, 목 꺾기, 골반 흔들림","Jay: “Lift your sternum off the bar.” / Romana: “Kick from the seat, not the knee.”","Return to Life p.58–59"
14,더블 레그 킥,Double Leg Kick,"대둔근, 햄스트링, 견갑 내전근, 흉추 신전","고관절 굴곡근, 흉곽","1. 엎드려 손을 등 뒤에서 깍지, 한쪽 얼굴을 매트에 두고 어깨를 내려둔다.  
2. 숨 들이쉬며 양발을 좌골 쪽으로 세 번 빠르게 킥, 내쉬며 팔을 뒤로 길게 뻗어 가슴과 다리를 동시에 들어 신전.  
3. 얼굴을 반대쪽으로 돌리고 반복. 6쌍 수행.",6+6,"킥-킥-킥 흡입 – 뻗을 때 호흡","Prone, hands clasped behind back","어깨 말림, 허리 꺾기, 무릎 벌리기","Jay: “Lengthen the shoulder blades down.” / Romana: “Kick your seat, then fly.”","Return to Life p.60–61"
15,넥 풀,Neck Pull,"복직근, 햄스트링, 척추 기립근, 흉추 신전근","요추 기립근, 경추 후방 조직","1. 다리를 골반너비로 벌리고 발끝 플렉스, 손은 머리 뒤 깍지.  
2. 롤 업과 같은 순서로 척추를 말아 올라가되 목 뒤로 손을 당기며 더욱 길게.  
3. 정점에서 허리를 펴고, 다시 등 뒤를 길게 늘이면서 아래로 내려온다.  
4. 허리를 과하게 꺾지 않고 복부를 사용하여 컨트롤.",6,"올라갈 때 긴 호흡 – 내려갈 때 긴 호흡","Supine, legs hip-width, hands behind head","팔로 머리 당기기, 발 들림, 허리 과신전","Jay: “Elbows wide, spine wider.” / Romana: “Don’t collapse the neck; stretch it.”","Return to Life p.62–63"
16,시저스,Scissors,"복직근, 장요근, 코어, 고관절 안정근","햄스트링, 고관절 굴곡근","1. 롤오버 포지션에서 양손으로 허리를 지지하며 다리를 천장으로 뻗는다.  
2. 한 다리를 머리 쪽으로 끌어당기고 다른 다리는 멀리 뻗어 가위 동작.  
3. 호흡과 함께 다리를 부드럽게 교대하며 6쌍 반복.  
4. 골반을 고정하고 다리가 곧게 뻗어 있는지 확인.",6+6,"교대 때 호흡 – 당길 때 흡입","Supine supported shoulder stand","허리가 무너지거나 무릎 굽힘, 목 압박","Jay: “Reach one up, one down, keep the hips high.” / Romana: “No kicking—stretch!”","Return to Life p.64–65"
17,바이시클,Bicycle,"복직근, 장요근, 햄스트링, 무릎 안정근","고관절 굴곡근","1. 시저스에서 이어서 진행, 한 다리는 굽혀 페달을 밟듯이, 다른 다리는 뻗는다.  
2. 허리를 길게 유지하며 6세트씩 각 방향으로 수행.  
3. 다리가 매트와 평행할 때 무릎이 정렬되도록 주의.",6+6,"굽힐 때 흡입 – 뻗을 때 호흡","Supported shoulder stand","골반 흔들림, 다리 근육만으로 움직임","Jay: “Pedal from your powerhouse.” / Romana: “Imagine the longest bicycle.”","Return to Life p.66"
18,숄더 브릿지,Shoulder Bridge,"대둔근, 햄스트링, 코어, 후면 체인","고관절 굴곡근, 대퇴직근","1. 무릎을 굽혀 발을 좌골 너비에 두고 골반을 들어 척추를 길게 신전.  
2. 한 다리를 천장으로 뻗어 킥, 아래로 길게 내리며 둔근을 조인다.  
3. 각 다리 3회 수행 후 척추를 하나씩 내려놓는다.",3+3,"킥할 때 흡입 – 내릴 때 호흡","Supine, knees bent, bridge position","골반 처짐, 발 모으기, 허리 과신전","Jay: “Keep the hips level.” / Romana: “Stretch the leg from your center.”","Return to Life p.68–69"
19,스파인 트위스트,Spine Twist,"복사근, 외복사근, 흉곽 회전근, 경추 안정","요방형근, 늑간근","1. 다리를 모아 앉고 팔은 옆으로 뻗어 어깨와 같은 높이.  
2. 들이쉬며 척추를 늘린 뒤 내쉬며 3번에 걸쳐 “트위스트-트위스트-더” 리듬으로 회전.  
3. 반대쪽 동일 수행. 골반은 고정, 발끝은 플렉스.",3+3,"길게 흡입 – 3펄스 호흡","Seated, legs together, arms in T","허리 둥글게, 다리 벌어짐, 어깨 상승","Jay: “Spiral up as you twist.” / Romana: “Three counts: twist-twist-more.”","Return to Life p.70–71"
20,잭 나이프,Jackknife,"복직근, 대둔근, 견갑 안정, 후면 체인","요추 기립근","1. 다리를 90°로 올리고 롤오버처럼 골반을 들어 올린 뒤,  
2. 상체는 어깨 위에 두고 다리를 수직보다 더 뒤쪽으로 보내 한 번에 끌어올린다.  
3. 내쉬며 척추를 길게 내려오며 다리를 45°까지 낮춘다.  
4. 6회 동안 흐름 유지.",6,"올라갈 때 호흡 – 내려올 때 흡입","Supine, legs together, arms long","어깨에 과도한 압력, 다리 흔들림","Jay: “Lift and lengthen, don’t throw.” / Romana: “Jackknife, don’t break the hinge.”","Return to Life p.72–73"
21,사이드 킥,Side Kick,"중둔근, 복사근, 코어, 고관절 안정","고관절 굴곡근, 햄스트링","1. 옆으로 누워 몸을 일직선, 상체는 팔꿈치 혹은 손으로 지지.  
2. 상다리를 앞쪽으로 킥하며 들이쉬고, 뒤로 길게 뻗으며 내쉰다.  
3. 10회 후 원형(Up/Down, Small Circles) 변형을 추가 가능.",10+10,"앞으로 흡입 – 뒤로 호흡","Side-lying, body in one line","골반 흔들림, 허리 꺾기, 발 끝 떨어짐","Jay: “Freeze your waist.” / Romana: “Longer to the back than the front.”","Romana’s Side Series, Return to Life p.74–75"
22,사이드 킥 닐링,Side Kick Kneeling,"중둔근, 복사근, 코어 안정성","내전근, 고관절 안정근","1. 무릎 꿇고 한 손은 귀 옆, 반대손은 바닥에 두어 몸을 사선으로 만든다.  
2. 위쪽 다리를 앞뒤 혹은 원으로 움직이며 5회씩 진행.  
3. 코어를 단단히 조여 골반을 수평으로 유지한다.",5+5,"리듬에 맞춰 자유 호흡","Kneeling side support","몸 전체가 흔들림, 팔에 기대기","Jay: “Hold the corset tight.” / Romana: “Lift off the supporting arm.”","Kathryn Ross-Nash, Vintage Pilates"
23,티저,Teaser,"복직근, 장요근, 복횡근, 코어","요추 기립근, 햄스트링","1. 롤 업으로 준비 후 다리를 테이블탑→45°→90°로 세 단계 확장.  
2. 팔과 다리가 V자를 이루도록 균형, 복부는 깊게 끌어당긴다.  
3. 3회 반복하며 마지막에 척추를 길게 내려놓는다.",3–6,"올라올 때 흡입 – 유지 호흡 – 내려갈 때 호흡","Supine → teaser V-sit","허리 붕 뜸, 다리 흔들림, 어깨 말림","Jay: “Stay on your sacrum.” / Romana: “Lengthen your legs out of your hips.”","Return to Life p.74–75"
24,힙 서클,Hip Circles,"복직근, 중둔근, 내전근, 코어","요방형근, 흉곽","1. 티저 포지션에서 팔을 뒤에 짚고 가슴을 들어 올린다.  
2. 다리를 함께 둥근 원으로 그리며 복부로 방향을 제어.  
3. 각 방향 3회씩, 골반과 흉곽을 분리하여 움직인다.",3+3,"원 그릴 때 호흡 – 중심에서 흡입","Seated supported teaser","어깨 내림, 허리 꺾기, 다리 분리","Jay: “Circle from the hips, not the knees.” / Romana: “Keep the chest proud.”","Jay Grimes Advanced Mat"
25,스위밍,Swimming,"요추 기립근, 대둔근, 햄스트링, 견갑 안정","고관절 굴곡근","1. 엎드려 팔·다리를 길게 뻗고 복부를 끌어당겨 허리를 지지.  
2. 반대 팔·다리를 동시에 들어 빠르게 paddle, 20–30카운트.  
3. 호흡은 4카운트씩 흡·호를 반복.",20–30 breaths,"4카운트 흡입 – 4카운트 호흡","Prone, arms & legs extended","허리 꺾기, 어깨 올림, 무릎 굽힘","Jay: “Swim from your center.” / Romana: “Flutter but stay lengthened.”","Return to Life p.78–79"
26,레그 풀 프론트,Leg Pull Front,"복직근, 전거근, 삼각근, 둔근","햄스트링, 종아리","1. 플랭크에서 한 다리를 천장으로 뻗어 올리고,  
2. 들이쉬며 다리를 더 높이고 내쉬며 길게 내린다.  
3. 5회씩 교대하며 몸의 일직선을 지킨다.",5+5,"들어 올릴 때 흡입 – 내릴 때 호흡","Plank position","허리 꺾임, 골반 흔들림, 목 긴장","Jay: “Push the floor away.” / Romana: “Keep the heel over the ball.”","Romana’s Leg Pull Series"
27,레그 풀 백,Leg Pull Back,"대둔근, 햄스트링, 코어, 견갑 안정","고관절 굴곡근","1. 리버스 플랭크에서 가슴을 열고 둔근을 조인 상태로 다리를 들어 올린다.  
2. 5회씩 교대하며 엉덩이가 떨어지지 않게 조절.",5+5,"들어 올릴 때 흡입 – 내릴 때 호흡","Reverse plank","어깨 말림, 고관절 처짐","Jay: “Lift the hips higher than the foot.” / Romana: “Shine the collarbones.”","Return to Life p.80"
28,닐링 사이드 킥,Kneeling Side Kick,"중둔근, 복사근, 코어, 어깨 안정","고관절 내전근","1. 무릎을 모으고 한 손은 머리 뒤, 반대손은 바닥.  
2. 위 다리를 앞뒤로 8회씩 그리고 원형 8회씩 수행.  
3. 몸통 길이를 유지하며 골반이 무너지지 않게 한다.",8+8,"리듬 호흡","Kneeling, one hand on mat","몸이 접힘, 팔에 기대기","Jay: “Grow up out of the hip.” / Romana: “Don’t lean—lift.”","Vintage Pilates"
29,사이드 벤드,Side Bend,"복사근, 요방형근, 중둔근, 어깨 안정","측면 광배근, 늑간근","1. 옆 플랭크에서 윗손을 머리 위로 보내 아치 만들기.  
2. 숨 들이쉬며 몸통을 돔형으로 들어 올리고, 내쉬며 길게 내려온다.  
3. 3회 후 반대쪽 반복.",3+3,"올릴 때 흡입 – 내릴 때 호흡","Side plank, feet staggered","골반 떨어짐, 어깨 끌어올림","Jay: “Rainbow your waist.” / Romana: “Both sides of the waist stay long.”","Return to Life p.84–85"
30,부메랑,Boomerang,"복직근, 복사근, 코어 회전, 어깨 안정","요추 기립근","1. 다리를 교차해 앉고 롤오버로 넘어가 다리를 뒤로 보낸다.  
2. 다리를 반대 방향으로 교차하며 올라와 티저를 만들고,  
3. 팔을 뒤로 보내 원형으로 가져온 뒤 굴러 내려온다.  
4. 3회 반복, 흐름이 끊기지 않게.",3+3,"굴러갈 때 호흡 – 올라올 때 흡입","Seated, legs crossed","목 긴장, 팔 흔들림, 호흡 멈춤","Jay: “It’s a dance.” / Romana: “Smooth like a boomerang.”","Return to Life p.86–87"
31,씰,Seal,"복직근, 척추 기립근, 코어(마사지)","요추 기립근","1. 발바닥을 붙이고 발과 무릎을 사이드에서 잡아 무릎을 벌린다.  
2. 꼬리뼈를 들어 C커브로 균형 잡고 뒤로 굴러 어깨까지.  
3. 앞으로 굴러오며 발바닥을 세 번 친다(뒤로 3번, 앞으로 3번).",6–8,"뒤로 흡입 – 앞으로 호흡 + 클랩","Seated, soles together, hands under ankles","무릎 벌어지지 않음, 리듬 끊김","Jay: “Clap from the hips.” / Romana: “Smile while you seal.”","Return to Life p.88–89"
32,크랩,Crab,"복직근, 대둔근, 척추 기립근, 어깨 안정","요추 기립근","1. 다리를 교차하여 발목을 잡고, 머리를 무릎 사이로 넣어 C커브.  
2. 뒤로 굴러가 머리 뒤를 살짝 스치고 다시 돌아오며 다리를 반대로 교차.  
3. 6회 반복하며 균형과 리듬 유지.",6,"뒤로 호흡 – 앞으로 흡입","Seated, legs crossed, holding feet","목 압박, 손 놓기, 호흡 막힘","Jay: “Be soft on the head.” / Romana: “Keep the cross tight.”","Return to Life p.88–89"
33,로킹,Rocking,"요추 기립근, 대둔근, 흉곽, 어깨 후방","복직근","1. 엎드려 발목을 잡고 무릎을 들어올린다.  
2. 들이쉬며 가슴을 들어 두 다리를 더 끌어올리고, 내쉬며 작은 로킹을 반복.  
3. 6~8회 후 조심스럽게 내려온다.",6–8,"앞으로 흡입 – 뒤로 호흡","Prone, holding ankles","허리 과신전, 무릎 벌어짐","Jay: “Lift from your breastbone.” / Romana: “Keep the knees narrow.”","Return to Life p.90–91"
34,컨트롤 밸런스,Control Balance,"복직근, 대둔근, 장요근, 후면 체인, 코어 최종 통제","요추 기립근, 고관절 굴곡근, 경추","1. 롤오버 자세에서 한 발목을 손으로 잡고 반대 다리를 천장으로 길게 뻗는다.  
2. 내쉬며 다리를 가위처럼 교대하면서 골반을 안정적으로 유지.  
3. 3쌍 후 천천히 척추를 내려 마무리.",3+3,"교대 때 호흡 – 잡을 때 흡입","Supine → rollover support, holding ankle","골반 흔들림, 허리 붕 뜨기, 급하게 교대","Jay: “Top of the mountain—control every inch.” / Romana: “Control, control, control.”","Return to Life p.90–91, Jay Grimes ‘Ultimate Control’ 2023"
