Order,Exercise_Name_KR,Exercise_Name_EN,Main_Strengthen_Muscles (주요 강화 근육),Main_Stretch_Muscles (주요 스트레칭 근육),How_to_Perform_Step_by_Step (상세 동작 설명),Spring_Traditional,Reps,Breathing_Pattern,References
11,힙 오프너,Hip Opener,"대둔근, 외회전근",내전근,"1. 준비: 스파인 코렉터 위에 엎드려 누워 무릎을 굽혀 발바닥을 서로 마주 보게 합니다. 골반은 아치에 닿게 합니다. 2. 열기: 숨을 내쉬며 둔근과 외회전근의 힘으로 무릎을 바깥쪽으로 벌립니다 (Hip External Rotation). 3. 닫기: 숨을 들이마시며 내전근의 저항을 느끼며 무릎을 닫아 돌아옵니다. 4. 주의: 허리가 꺾이지 않도록 복부의 긴장을 유지하고, 엉덩이 근육의 수축에 집중합니다.",None,10,Exhale open,Romana's Hip Work
12,라더 바렐 롱 스트레치,Long Stretch on Ladder Barrel,"전신 플랭크, 코어, 견갑 안정성",종아리,"1. 준비: 라더 바렐 앞에 서서 손잡이를 잡고, 발은 뒤로 멀리 뻗어 플랭크 자세를 만듭니다. 2. 밀기: 숨을 내쉬며 어깨와 코어의 힘으로 몸통 전체를 뒤로 밀어 척추와 종아리를 늘립니다. 3. 당기기: 숨을 들이마시며 다시 전완근과 복부의 힘으로 몸통을 앞으로 당겨 돌아옵니다. 4. 집중: 복부와 둔근을 사용하여 몸통이 일직선이 되도록 하고, 견갑골의 안정성을 유지합니다.",None,8,"Exhale push, Inhale pull",Joseph Pilates 1940
13,라더 바렐 숏 스파인,Short Spine on Ladder Barrel,"복직근, 대둔근, 햄스트링",요추 기립근,"1. 준비: 라더 바렐 위에 등을 대고 누워, 발뒤꿈치를 사다리의 가장 낮은 칸에 겁니다. 2. 롤링 업: 숨을 내쉬며 복부의 힘으로 골반을 말아 엉덩이를 천장 쪽으로 들어 올립니다. 3. 마사지: 엉덩이가 들린 상태에서 무릎을 구부렸다가 펴는 동작을 반복하며 척추를 마사지합니다. 4. 롤링 다운: 숨을 들이마시며 척추를 하나씩 말아 바닥으로 천천히 내려 놓습니다. 5. 주의: 허리가 아닌 복부의 힘으로 롤링하며, 척추의 분절에 집중합니다.",None,6,Exhale massage,Jay Grimes 'Spine massage'
14,라더 바렐 롱 스파인,Long Spine on Ladder Barrel,"복직근, 대둔근, 코어",고관절 굴곡근,"1. 준비: 라더 바렐 숏 스파인과 동일하게 발뒤꿈치를 사다리에 겁니다. 2. 롤링 업: 숨을 들이마시며 다리를 쭉 펴서 척추를 길게 늘리며 엉덩이를 천장으로 들어 올립니다. 3. 서클 & 다운: 엉덩이가 들린 상태에서 다리를 벌려 원을 그리며 아래로 내렸다가 모으면서 척추를 하나씩 말아 바닥으로 내려 놓습니다. 4. 집중: 척추를 길게 늘리는 느낌과 복부의 통제력을 사용하는 것에 집중합니다.",None,6,"Inhale up, Exhale down",Romana's Long Spine
15,라더 바렐 싸이 스트레치,Thigh Stretch on Ladder Barrel,"대퇴사두근, 코어",고관절 굴곡근,"1. 준비: 라더 바렐 앞에 무릎 꿇고 앉아 손으로 사다리를 잡습니다. 2. 뒤로 기울기: 숨을 내쉬며 무릎을 중심으로 몸통을 일직선으로 뒤로 기울여 대퇴사두근을 늘립니다. 3. 돌아오기: 숨을 들이마시며 대퇴사두근과 코어의 힘으로 원래 자세로 돌아옵니다. 4. 주의: 허리가 꺾이지 않도록 복부와 둔근을 강하게 조여 몸통을 일직선으로 유지합니다.",None,8,Exhale back,Vintage Pilates
16,라더 바렐 호스슈,Horseshoe on Ladder Barrel,"복직근, 장요근",요추 기립근,"1. 준비: 라더 바렐 위에 등을 대고 누워 발끝을 사다리에 겁니다. 2. 롤링 업: 숨을 내쉬며 복부의 힘으로 척추를 말아 엉덩이를 천장 쪽으로 들어 올립니다. 3. 반원 그리기: 엉덩이가 들린 상태에서 다리를 좌우로 벌려 말굽(Horseshoe) 모양으로 반원을 그리며 척추를 하나씩 말아 바닥으로 천천히 내려 놓습니다. 4. 주의: 다리의 원을 크게 그려 복부의 통제력을 최대한 사용하며 내려옵니다.",None,6,Exhale roll,Jay Grimes Advanced
17,라더 바렐 스완,Swan on Ladder Barrel,"요추 기립근, 대둔근",복직근,"1. 준비: 라더 바렐 위에 엎드려 누워 골반이 바렐에 닿게 합니다. 양손은 사다리를 잡습니다. 2. 들어올리기: 숨을 들이마시며 **등 근육(요추 기립근)**을 사용하여 상체를 들어 올리고 가슴을 활짝 열어 흉추를 신전시킵니다. 3. 내려오기: 숨을 내쉬며 복부의 통제력으로 천천히 돌아옵니다. 4. 집중: 사다리를 당기는 힘과 등 근육을 사용하여 신전을 보조하고, 허리가 아닌 흉추 신전에 집중합니다.",None,6,Inhale lift,Romana's Swan
18,라더 바렐 사이드 벤드,Side Bend on Ladder Barrel,"복사근, 중둔근",측면 광배근,"1. 준비: 라더 바렐 위에 옆으로 앉아 엉덩이를 바렐에 대고, 아래쪽 손은 바렐을 잡고 위쪽 손은 사다리를 잡습니다. 2. 측면 굴곡: 숨을 들이마시며 상체를 바렐 쪽으로 옆으로 굽힙니다. 3. 아크 & 당기기: 숨을 내쉬며 위쪽 손으로 사다리를 당겨 측면을 길게 늘립니다. 4. 돌아오기: 숨을 들이마시며 복사근의 힘으로 몸통을 세워 돌아옵니다. 5. 집중: 측면 복부 근육의 수축과 스트레칭에 집중합니다.",None,5+5,Inhale bend,Peak Pilates
19,라더 바렐 햄스트링 스트레치,Hamstring Stretch on Ladder Barrel,"복직근, 코어",햄스트링,"1. 준비: 라더 바렐 위에 등을 대고 누워 한쪽 발을 사다리의 높은 칸에 겁니다. 2. 당기기: 숨을 들이마시며 코어의 안정성을 유지한 채 발을 몸 쪽으로 당겨 햄스트링을 최대한 늘립니다. 3. 유지: 호흡을 하면서 자세를 유지합니다. 4. 주의: 엉덩이가 바닥에서 뜨지 않도록 골반의 중립을 유지합니다.",None,6+6,Inhale stretch,Joseph Pilates
20,라더 바렐 힙 플렉서 스트레치,Hip Flexor Stretch on Ladder Barrel,"대둔근, 복직근",고관절 굴곡근(장요근),"1. 준비: 라더 바렐 앞에 런지 자세를 취하고, 앞쪽 무릎을 바렐의 아치 위에 올리고, 뒷다리를 뒤로 쭉 뻗습니다. 2. 뒤로 기울기: 복부와 둔근을 수축하여 골반을 전방으로 밀어 고관절 굴곡근을 늘립니다. 3. 스트레칭 유지: 깊은 호흡을 하면서 스트레칭을 유지합니다. 4. 집중: 허리가 꺾이지 않도록 복부를 강하게 유지하고 골반 앞쪽의 늘어남에 집중합니다.",None,30초+30초,Natural breath,Romana's Runner's Lunge
21,라더 바렐 백 벤드,Back Bend on Ladder Barrel,"요추 기립근, 흉곽 신전근",복직근,"1. 준비: 라더 바렐 위에 엎드려 누워 골반을 바렐에 기대고 손으로 사다리를 잡습니다. 2. 깊은 아치: 숨을 들이마시며 등 근육의 힘과 사다리를 당기는 힘을 이용해 상체를 뒤로 깊게 젖혀 흉곽과 척추를 최대한 신전시킵니다. 3. 주의: 목이 꺾이지 않도록 경추의 중립을 유지하고, 척추 마디마디가 늘어나는 느낌에 집중합니다.",None,4–6,Inhale open,Jay Grimes 'Open your chest'
22,스파인 코렉터 컨트롤 밸런스,Control Balance on Spine Corrector,"복직근, 대둔근, 코어",요추 기립근,"1. 준비: 스파인 코렉터의 아치 위에 등을 대고 누워, 다리를 머리 위로 넘겨 발끝을 아치의 바닥 부분에 닿게 합니다. 2. 균형 잡기: 한쪽 다리를 천장으로 곧게 뻗어 올리고, 반대쪽 다리는 아래로 내립니다(가위 모양). 양손으로 손잡이를 잡습니다. 3. 스위치: 복부와 둔근의 힘으로 다리를 빠르게 교차하며 균형을 잡습니다. 4. 집중: 강력한 코어 통제력을 요구하는 최종 밸런스 동작이며, 몸통이 흔들리지 않도록 유지합니다.",None,3+3,Inhale switch,Jay Grimes 'The top of the mountain'
