id,posture_key,posture_ko,equipment_en,equipment_ko,exercise_en,exercise_ko,purpose,how_to_do,sets_reps,key_cues,precaution
14,Trunk Forward Inclination,체간 전방기울기,Cadillac,캐딜락,Plank - Basic (1-3),사이드킥 - Basic (1-3),심부 안정근 활성화 및 신체 중심 강화,"① 시작자세: 캐딜락 위에서 사이드킥 준비 자세로 선다.
② 수행: 호흡을 내쉬며 사이드킥 동작을 실시하여 심부 안정근 활성화 및 신체 중심 강화에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 4세트 12회, 템포 1-3.",4세트 x 12회,"좌우 균형 유지, 호흡과 함께 부드럽게, 갈비뼈 플레어 금지",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
15,Posterior Pelvic Tilt,골반 후방경사,Reformer,리포머,Teaser - Intermediate (1-3),스완 - Intermediate (1-3),코어 중심의 자세 안정성 향상,"① 시작자세: 리포머 위에서 스완 준비 자세로 선다.
② 수행: 호흡을 내쉬며 스완 동작을 실시하여 코어 중심의 자세 안정성 향상에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 2세트 10회, 템포 1-3.",2세트 x 10회,"호흡과 함께 부드럽게, 복부 30% 수축, 좌우 균형 유지",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
16,Hyperlordosis,요추 과전만,Spine Corrector,스파인 코렉터,Bridge - Intermediate (Pulse x10),풋워크 - Intermediate (Pulse x10),코어 중심의 자세 안정성 향상,"① 시작자세: 스파인 코렉터 위에서 풋워크 준비 자세로 선다.
② 수행: 호흡을 내쉬며 풋워크 동작을 실시하여 코어 중심의 자세 안정성 향상에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 2세트 15회, 템포 Pulse x10.",2세트 x 15회,"호흡과 함께 부드럽게, 견갑 하강 유지, 복부 30% 수축",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
17,Genu Valgum,X자 무릎,Spine Corrector,스파인 코렉터,Bridge - Intermediate (3-1),클램쉘 - Intermediate (3-1),자세 교정과 정렬 회복,"① 시작자세: 스파인 코렉터 위에서 클램쉘 준비 자세로 선다.
② 수행: 호흡을 내쉬며 클램쉘 동작을 실시하여 자세 교정과 정렬 회복에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 3세트 15회, 템포 3-1.",3세트 x 15회,"호흡과 함께 부드럽게, 좌우 균형 유지, 견갑 하강 유지",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
18,Trunk Forward Inclination,체간 전방기울기,Spine Corrector,스파인 코렉터,Clamshell - Advanced (2-2),풋워크 - Advanced (2-2),자세 교정과 정렬 회복,"① 시작자세: 스파인 코렉터 위에서 풋워크 준비 자세로 선다.
② 수행: 호흡을 내쉬며 풋워크 동작을 실시하여 자세 교정과 정렬 회복에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 3세트 20회, 템포 2-2.",3세트 x 20회,"갈비뼈 플레어 금지, 복부 30% 수축, 좌우 균형 유지",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
19,Posterior Pelvic Tilt,골반 후방경사,Ladder Barrel,래더 배럴,Dead Bug - Intermediate (Isometric 5s),스완 - Intermediate (Isometric 5s),가동성과 근력의 균형 향상,"① 시작자세: 래더 배럴 위에서 스완 준비 자세로 선다.
② 수행: 호흡을 내쉬며 스완 동작을 실시하여 가동성과 근력의 균형 향상에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 2세트 15회, 템포 Isometric 5s.",2세트 x 15회,"좌우 균형 유지, 복부 30% 수축, 갈비뼈 플레어 금지",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
20,Trunk Forward Inclination,체간 전방기울기,Ladder Barrel,래더 배럴,Clamshell - Advanced (Isometric 5s),데드버그 - Advanced (Isometric 5s),가동성과 근력의 균형 향상,"① 시작자세: 래더 배럴 위에서 데드버그 준비 자세로 선다.
② 수행: 호흡을 내쉬며 데드버그 동작을 실시하여 가동성과 근력의 균형 향상에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 2세트 15회, 템포 Isometric 5s.",2세트 x 15회,"갈비뼈 플레어 금지, 견갑 하강 유지, 좌우 균형 유지",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
21,Foot Pronation,과도한 회내,Cadillac,캐딜락,Bridge - Advanced (1-3),데드버그 - Advanced (1-3),가동성과 근력의 균형 향상,"① 시작자세: 캐딜락 위에서 데드버그 준비 자세로 선다.
② 수행: 호흡을 내쉬며 데드버그 동작을 실시하여 가동성과 근력의 균형 향상에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 2세트 10회, 템포 1-3.",2세트 x 10회,"좌우 균형 유지, 견갑 하강 유지, 갈비뼈 플레어 금지",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
22,Flat Back,편평등,Spine Corrector,스파인 코렉터,Clamshell - Intermediate (Pulse x10),플랭크 - Intermediate (Pulse x10),심부 안정근 활성화 및 신체 중심 강화,"① 시작자세: 스파인 코렉터 위에서 플랭크 준비 자세로 선다.
② 수행: 호흡을 내쉬며 플랭크 동작을 실시하여 심부 안정근 활성화 및 신체 중심 강화에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 4세트 15회, 템포 Pulse x10.",4세트 x 15회,"골반 중립 유지, 호흡과 함께 부드럽게, 좌우 균형 유지",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
23,Genu Valgum,X자 무릎,Mat,매트,Plank - Advanced (Isometric 5s),롤업 - Advanced (Isometric 5s),심부 안정근 활성화 및 신체 중심 강화,"① 시작자세: 매트 위에서 롤업 준비 자세로 선다.
② 수행: 호흡을 내쉬며 롤업 동작을 실시하여 심부 안정근 활성화 및 신체 중심 강화에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 3세트 20회, 템포 Isometric 5s.",3세트 x 20회,"호흡과 함께 부드럽게, 갈비뼈 플레어 금지, 견갑 하강 유지",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
24,Genu Valgum,X자 무릎,Reformer,리포머,Bridge - Basic (1-3),풋워크 - Basic (1-3),코어 중심의 자세 안정성 향상,"① 시작자세: 리포머 위에서 풋워크 준비 자세로 선다.
② 수행: 호흡을 내쉬며 풋워크 동작을 실시하여 코어 중심의 자세 안정성 향상에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 2세트 15회, 템포 1-3.",2세트 x 15회,"호흡과 함께 부드럽게, 골반 중립 유지, 견갑 하강 유지",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
25,Hyperkyphosis,흉추 과후만,Reformer,리포머,Side Kick - Basic (Pulse x10),데드버그 - Basic (Pulse x10),과긴장된 근육 이완과 약화근 강화,"① 시작자세: 리포머 위에서 데드버그 준비 자세로 선다.
② 수행: 호흡을 내쉬며 데드버그 동작을 실시하여 과긴장된 근육 이완과 약화근 강화에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 3세트 10회, 템포 Pulse x10.",3세트 x 10회,"갈비뼈 플레어 금지, 좌우 균형 유지, 복부 30% 수축",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
26,Trunk Forward Inclination,체간 전방기울기,Mat,매트,Dead Bug - Basic (1-3),브릿지 - Basic (1-3),심부 안정근 활성화 및 신체 중심 강화,"① 시작자세: 매트 위에서 브릿지 준비 자세로 선다.
② 수행: 호흡을 내쉬며 브릿지 동작을 실시하여 심부 안정근 활성화 및 신체 중심 강화에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 3세트 12회, 템포 1-3.",3세트 x 12회,"갈비뼈 플레어 금지, 골반 중립 유지, 좌우 균형 유지",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
27,Trunk Forward Inclination,체간 전방기울기,Reformer,리포머,Hundred - Basic (Isometric 5s),브릿지 - Basic (Isometric 5s),심부 안정근 활성화 및 신체 중심 강화,"① 시작자세: 리포머 위에서 브릿지 준비 자세로 선다.
② 수행: 호흡을 내쉬며 브릿지 동작을 실시하여 심부 안정근 활성화 및 신체 중심 강화에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 2세트 12회, 템포 Isometric 5s.",2세트 x 12회,"좌우 균형 유지, 호흡과 함께 부드럽게, 골반 중립 유지",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
28,Posterior Pelvic Tilt,골반 후방경사,Mat,매트,Clamshell - Intermediate (3-1),티저 - Intermediate (3-1),과긴장된 근육 이완과 약화근 강화,"① 시작자세: 매트 위에서 티저 준비 자세로 선다.
② 수행: 호흡을 내쉬며 티저 동작을 실시하여 과긴장된 근육 이완과 약화근 강화에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 2세트 15회, 템포 3-1.",2세트 x 15회,"견갑 하강 유지, 골반 중립 유지, 호흡과 함께 부드럽게",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
29,Foot Pronation,과도한 회내,Ladder Barrel,래더 배럴,Hundred - Basic (Pulse x10),롤업 - Basic (Pulse x10),가동성과 근력의 균형 향상,"① 시작자세: 래더 배럴 위에서 롤업 준비 자세로 선다.
② 수행: 호흡을 내쉬며 롤업 동작을 실시하여 가동성과 근력의 균형 향상에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 3세트 12회, 템포 Pulse x10.",3세트 x 12회,"복부 30% 수축, 골반 중립 유지, 견갑 하강 유지",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
30,Foot Supination,과도한 회외,Chair,체어,Roll Up - Basic (3-1),브릿지 - Basic (3-1),가동성과 근력의 균형 향상,"① 시작자세: 체어 위에서 브릿지 준비 자세로 선다.
② 수행: 호흡을 내쉬며 브릿지 동작을 실시하여 가동성과 근력의 균형 향상에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 2세트 12회, 템포 3-1.",2세트 x 12회,"복부 30% 수축, 골반 중립 유지, 호흡과 함께 부드럽게",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
31,Trunk Lateral Shift,체간 편위,Ladder Barrel,래더 배럴,Clamshell - Intermediate (Isometric 5s),사이드킥 - Intermediate (Isometric 5s),심부 안정근 활성화 및 신체 중심 강화,"① 시작자세: 래더 배럴 위에서 사이드킥 준비 자세로 선다.
② 수행: 호흡을 내쉬며 사이드킥 동작을 실시하여 심부 안정근 활성화 및 신체 중심 강화에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 3세트 10회, 템포 Isometric 5s.",3세트 x 10회,"갈비뼈 플레어 금지, 복부 30% 수축, 골반 중립 유지",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
32,Posterior Pelvic Tilt,골반 후방경사,Spine Corrector,스파인 코렉터,Teaser - Advanced (Pulse x10),브릿지 - Advanced (Pulse x10),자세 교정과 정렬 회복,"① 시작자세: 스파인 코렉터 위에서 브릿지 준비 자세로 선다.
② 수행: 호흡을 내쉬며 브릿지 동작을 실시하여 자세 교정과 정렬 회복에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 2세트 15회, 템포 Pulse x10.",2세트 x 15회,"복부 30% 수축, 갈비뼈 플레어 금지, 좌우 균형 유지",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
33,Genu Varum,O자 무릎,Cadillac,캐딜락,Swan - Basic (2-2),티저 - Basic (2-2),심부 안정근 활성화 및 신체 중심 강화,"① 시작자세: 캐딜락 위에서 티저 준비 자세로 선다.
② 수행: 호흡을 내쉬며 티저 동작을 실시하여 심부 안정근 활성화 및 신체 중심 강화에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 4세트 20회, 템포 2-2.",4세트 x 20회,"호흡과 함께 부드럽게, 갈비뼈 플레어 금지, 복부 30% 수축",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
34,Trunk Forward Inclination,체간 전방기울기,Ladder Barrel,래더 배럴,Clamshell - Advanced (Pulse x10),헌드레드 - Advanced (Pulse x10),가동성과 근력의 균형 향상,"① 시작자세: 래더 배럴 위에서 헌드레드 준비 자세로 선다.
② 수행: 호흡을 내쉬며 헌드레드 동작을 실시하여 가동성과 근력의 균형 향상에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 4세트 15회, 템포 Pulse x10.",4세트 x 15회,"골반 중립 유지, 호흡과 함께 부드럽게, 갈비뼈 플레어 금지",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
35,Posterior Pelvic Tilt,골반 후방경사,Chair,체어,Hundred - Advanced (3-1),데드버그 - Advanced (3-1),자세 교정과 정렬 회복,"① 시작자세: 체어 위에서 데드버그 준비 자세로 선다.
② 수행: 호흡을 내쉬며 데드버그 동작을 실시하여 자세 교정과 정렬 회복에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 4세트 10회, 템포 3-1.",4세트 x 10회,"골반 중립 유지, 좌우 균형 유지, 복부 30% 수축",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
36,Flat Back,편평등,Spine Corrector,스파인 코렉터,Side Kick - Advanced (Isometric 5s),스완 - Advanced (Isometric 5s),가동성과 근력의 균형 향상,"① 시작자세: 스파인 코렉터 위에서 스완 준비 자세로 선다.
② 수행: 호흡을 내쉬며 스완 동작을 실시하여 가동성과 근력의 균형 향상에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 3세트 12회, 템포 Isometric 5s.",3세트 x 12회,"골반 중립 유지, 좌우 균형 유지, 호흡과 함께 부드럽게",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
37,Rounded Shoulder,라운드 숄더,Chair,체어,Swan - Basic (3-1),스완 - Basic (3-1),과긴장된 근육 이완과 약화근 강화,"① 시작자세: 체어 위에서 스완 준비 자세로 선다.
② 수행: 호흡을 내쉬며 스완 동작을 실시하여 과긴장된 근육 이완과 약화근 강화에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 2세트 15회, 템포 3-1.",2세트 x 15회,"견갑 하강 유지, 호흡과 함께 부드럽게, 좌우 균형 유지",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
38,Trunk Lateral Shift,체간 편위,Ladder Barrel,래더 배럴,Clamshell - Basic (1-3),데드버그 - Basic (1-3),자세 교정과 정렬 회복,"① 시작자세: 래더 배럴 위에서 데드버그 준비 자세로 선다.
② 수행: 호흡을 내쉬며 데드버그 동작을 실시하여 자세 교정과 정렬 회복에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 2세트 15회, 템포 1-3.",2세트 x 15회,"좌우 균형 유지, 호흡과 함께 부드럽게, 갈비뼈 플레어 금지",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
39,Foot Supination,과도한 회외,Cadillac,캐딜락,Hundred - Basic (Isometric 5s),롤업 - Basic (Isometric 5s),심부 안정근 활성화 및 신체 중심 강화,"① 시작자세: 캐딜락 위에서 롤업 준비 자세로 선다.
② 수행: 호흡을 내쉬며 롤업 동작을 실시하여 심부 안정근 활성화 및 신체 중심 강화에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 3세트 20회, 템포 Isometric 5s.",3세트 x 20회,"견갑 하강 유지, 골반 중립 유지, 호흡과 함께 부드럽게",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
40,Flat Back,편평등,Cadillac,캐딜락,Roll Up - Basic (1-3),데드버그 - Basic (1-3),과긴장된 근육 이완과 약화근 강화,"① 시작자세: 캐딜락 위에서 데드버그 준비 자세로 선다.
② 수행: 호흡을 내쉬며 데드버그 동작을 실시하여 과긴장된 근육 이완과 약화근 강화에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 2세트 15회, 템포 1-3.",2세트 x 15회,"골반 중립 유지, 갈비뼈 플레어 금지, 복부 30% 수축",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
41,Posterior Pelvic Tilt,골반 후방경사,Cadillac,캐딜락,Swan - Intermediate (1-3),사이드킥 - Intermediate (1-3),코어 중심의 자세 안정성 향상,"① 시작자세: 캐딜락 위에서 사이드킥 준비 자세로 선다.
② 수행: 호흡을 내쉬며 사이드킥 동작을 실시하여 코어 중심의 자세 안정성 향상에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 3세트 15회, 템포 1-3.",3세트 x 15회,"호흡과 함께 부드럽게, 골반 중립 유지, 견갑 하강 유지",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
42,Foot Supination,과도한 회외,Chair,체어,Clamshell - Basic (3-1),헌드레드 - Basic (3-1),코어 중심의 자세 안정성 향상,"① 시작자세: 체어 위에서 헌드레드 준비 자세로 선다.
② 수행: 호흡을 내쉬며 헌드레드 동작을 실시하여 코어 중심의 자세 안정성 향상에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 4세트 20회, 템포 3-1.",4세트 x 20회,"호흡과 함께 부드럽게, 갈비뼈 플레어 금지, 복부 30% 수축",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
43,Pelvic Obliquity,골반 비틀림,Ladder Barrel,래더 배럴,Side Kick - Advanced (1-3),롤업 - Advanced (1-3),가동성과 근력의 균형 향상,"① 시작자세: 래더 배럴 위에서 롤업 준비 자세로 선다.
② 수행: 호흡을 내쉬며 롤업 동작을 실시하여 가동성과 근력의 균형 향상에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 3세트 12회, 템포 1-3.",3세트 x 12회,"좌우 균형 유지, 갈비뼈 플레어 금지, 견갑 하강 유지",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
44,Posterior Pelvic Tilt,골반 후방경사,Chair,체어,Clamshell - Advanced (3-1),티저 - Advanced (3-1),과긴장된 근육 이완과 약화근 강화,"① 시작자세: 체어 위에서 티저 준비 자세로 선다.
② 수행: 호흡을 내쉬며 티저 동작을 실시하여 과긴장된 근육 이완과 약화근 강화에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 3세트 10회, 템포 3-1.",3세트 x 10회,"좌우 균형 유지, 견갑 하강 유지, 호흡과 함께 부드럽게",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
