posture_key,posture_ko,region,exercise_key,tight_primary,weak_primary,stretch_focus,strengthen_focus,mobility_focus,recommended_summary,clinical_notes
"Genu Valgum","X자 다리","무릎 (Knee)","Genu_Valgum","내전근 (Adductors), 내측광근 (VM)","중둔근 (Gluteus Medius), 외회전근 (External Rotators)","내전근 (Adductors), 내측광근 (VM)","중둔근 (Gluteus Medius), 외회전근 (External Rotators)","관절 가동성","스트레칭: 내전근 (Adductors), 내측광근 (VM) | 강화: 중둔근 (Gluteus Medius), 외회전근 (External Rotators) | 가동성: 관절 가동성","기능적 부하 증가"
"Genu Varum","O자 다리","무릎 (Knee)","Genu_Varum","외측광근 (VL), 비복근 (Gastrocnemius)","내전근 (Adductors), 내측광근 (VMO)","외측광근 (VL), 비복근 (Gastrocnemius)","내전근 (Adductors), 내측광근 (VMO)","관절 가동성","스트레칭: 외측광근 (VL), 비복근 (Gastrocnemius) | 강화: 내전근 (Adductors), 내측광근 (VMO) | 가동성: 관절 가동성","기능적 부하 증가"
"Genu Recurvatum","무릎 과신전","무릎 (Knee)","Genu_Recurvatum","비복근, 슬와근 (Popliteus)","햄스트링, 둔근","비복근, 슬와근 (Popliteus)","햄스트링, 둔근","관절 가동성","스트레칭: 비복근, 슬와근 (Popliteus) | 강화: 햄스트링, 둔근 | 가동성: 관절 가동성","기능적 부하 증가"
"Knee Flexion Contracture","무릎 굴곡 구축","무릎 (Knee)","Knee_Flexion_Contracture","햄스트링, 비복근","대퇴사두, 둔근","햄스트링, 비복근","대퇴사두, 둔근","관절 가동성","스트레칭: 햄스트링, 비복근 | 강화: 대퇴사두, 둔근 | 가동성: 관절 가동성","기능적 부하 증가"
"Increased Q-Angle","Q각 증가","무릎 (Knee)","Increased_Q-Angle","TFL, 외측광근 (VL)","내측광근 (VMO), 중둔근","TFL, 외측광근 (VL)","내측광근 (VMO), 중둔근","관절 가동성","스트레칭: TFL, 외측광근 (VL) | 강화: 내측광근 (VMO), 중둔근 | 가동성: 관절 가동성","기능적 부하 증가"
"Decreased Q-Angle","Q각 감소","무릎 (Knee)","Decreased_Q-Angle","내전근, 내측광근","외측광근, 중둔근","내전근, 내측광근","외측광근, 중둔근","관절 가동성","스트레칭: 내전근, 내측광근 | 강화: 외측광근, 중둔근 | 가동성: 관절 가동성","기능적 부하 증가"
"Excessive Tibial Inclination","과도한 경골 경사","하퇴 (Lower Leg)","Excessive_Tibial_Inclination","비복근, 가자미근 (Soleus)","전경골근, 햄스트링","비복근, 가자미근 (Soleus)","전경골근, 햄스트링","관절 가동성","스트레칭: 비복근, 가자미근 (Soleus) | 강화: 전경골근, 햄스트링 | 가동성: 관절 가동성","기능적 부하 증가"
"Internal Tibial Torsion","경골 내회전 변형","하퇴 (Lower Leg)","Internal_Tibial_Torsion","경골근막, 내측 햄스트링","외회전근, 중둔근","경골근막, 내측 햄스트링","외회전근, 중둔근","관절 가동성","스트레칭: 경골근막, 내측 햄스트링 | 강화: 외회전근, 중둔근 | 가동성: 관절 가동성","기능적 부하 증가"
"External Tibial Torsion","경골 외회전 변형","하퇴 (Lower Leg)","External_Tibial_Torsion","비복근, 외측 햄스트링","중둔근, VMO","비복근, 외측 햄스트링","중둔근, VMO","관절 가동성","스트레칭: 비복근, 외측 햄스트링 | 강화: 중둔근, VMO | 가동성: 관절 가동성","기능적 부하 증가"
"Trendelenburg Sign","트렌델렌버그 징후","고관절 (Hip)","Trendelenburg_Sign","TFL, QF(Quadratus Femoris)","중둔근 (Gluteus Medius)","TFL, QF(Quadratus Femoris)","중둔근 (Gluteus Medius)","관절 가동성","스트레칭: TFL, QF(Quadratus Femoris) | 강화: 중둔근 (Gluteus Medius) | 가동성: 관절 가동성","기능적 부하 증가"
"Femoral Anteversion","대퇴 전염","고관절 (Hip)","Femoral_Anteversion","TFL, 내전근","외회전근, 중둔근","TFL, 내전근","외회전근, 중둔근","관절 가동성","스트레칭: TFL, 내전근 | 강화: 외회전근, 중둔근 | 가동성: 관절 가동성","기능적 부하 증가"
"Femoral Retroversion","대퇴 후염","고관절 (Hip)","Femoral_Retroversion","외회전근, 중둔근","TFL, 내전근","외회전근, 중둔근","TFL, 내전근","관절 가동성","스트레칭: 외회전근, 중둔근 | 강화: TFL, 내전근 | 가동성: 관절 가동성","기능적 부하 증가"
"Pes Planus","평발","발 (Foot)","Pes_Planus","비골근, 후경골건 과부하","후경골근 (Tibialis Posterior), 전경골근","비골근, 후경골건 과부하","후경골근 (Tibialis Posterior), 전경골근","관절 가동성","스트레칭: 비골근, 후경골건 과부하 | 강화: 후경골근 (Tibialis Posterior), 전경골근 | 가동성: 관절 가동성","기능적 부하 증가"
"Pes Cavus","요족","발 (Foot)","Pes_Cavus","비복근, 전경골근","비골근, 후경골근","비복근, 전경골근","비골근, 후경골근","관절 가동성","스트레칭: 비복근, 전경골근 | 강화: 비골근, 후경골근 | 가동성: 관절 가동성","기능적 부하 증가"
"Hallux Valgus","무지외반증","발 (Foot)","Hallux_Valgus","종자골 주변 근막","발 intrinsic (발바닥 내재근)","종자골 주변 근막","발 intrinsic (발바닥 내재근)","관절 가동성","스트레칭: 종자골 주변 근막 | 강화: 발 intrinsic (발바닥 내재근) | 가동성: 관절 가동성","기능적 부하 증가"
"Toe-Out Gait","토우 아웃 보행","발/하지","Toe-Out_Gait","외회전근, 비골근","전경골근, 중둔근","외회전근, 비골근","전경골근, 중둔근","관절 가동성","스트레칭: 외회전근, 비골근 | 강화: 전경골근, 중둔근 | 가동성: 관절 가동성","기능적 부하 증가"
"Toe-In Gait","토우 인 보행","발/하지","Toe-In_Gait","내전근, TFL","외회전근, 중둔근","내전근, TFL","외회전근, 중둔근","관절 가동성","스트레칭: 내전근, TFL | 강화: 외회전근, 중둔근 | 가동성: 관절 가동성","기능적 부하 증가"
"Head Tilt Left","머리 좌측 기울기","경추","Head_Tilt_Left","흉쇄유돌근/사각근","심부경부굴근","흉쇄유돌근/사각근","심부경부굴근","관절 가동성","스트레칭: 흉쇄유돌근/사각근 | 강화: 심부경부굴근 | 가동성: 관절 가동성","기능적 부하 증가"
"Head Tilt Right","머리 우측 기울기","경추","Head_Tilt_Right","흉쇄유돌근/사각근","심부경부굴근","흉쇄유돌근/사각근","심부경부굴근","관절 가동성","스트레칭: 흉쇄유돌근/사각근 | 강화: 심부경부굴근 | 가동성: 관절 가동성","기능적 부하 증가"
"Cervical Rotation Preference","경추 회전 편향","경추","Cervical_Rotation_Preference","SCM/상부승모","심부경부굴근","SCM/상부승모","심부경부굴근","관절 가동성","스트레칭: SCM/상부승모 | 강화: 심부경부굴근 | 가동성: 관절 가동성","기능적 부하 증가"
"Elevated Shoulder Left","좌측 어깨 상승","견갑","Elevated_Shoulder_Left","상부승모/견갑거근","하부승모/능형근","상부승모/견갑거근","하부승모/능형근","관절 가동성","스트레칭: 상부승모/견갑거근 | 강화: 하부승모/능형근 | 가동성: 관절 가동성","기능적 부하 증가"
"Elevated Shoulder Right","우측 어깨 상승","견갑","Elevated_Shoulder_Right","상부승모/견갑거근","하부승모/능형근","상부승모/견갑거근","하부승모/능형근","관절 가동성","스트레칭: 상부승모/견갑거근 | 강화: 하부승모/능형근 | 가동성: 관절 가동성","기능적 부하 증가"
"Scapular Winging","견갑 이개","견갑","Scapular_Winging","전거근 약화 보상으로 승모/능형 과활성","전거근","전거근 약화 보상으로 승모/능형 과활성","전거근","관절 가동성","스트레칭: 전거근 약화 보상으로 승모/능형 과활성 | 강화: 전거근 | 가동성: 관절 가동성","기능적 부하 증가"
"Protracted Scapula","견갑 전인","견갑","Protracted_Scapula","소흉근/대흉근","전거근/하부승모","소흉근/대흉근","전거근/하부승모","관절 가동성","스트레칭: 소흉근/대흉근 | 강화: 전거근/하부승모 | 가동성: 관절 가동성","기능적 부하 증가"
"Retracted Scapula","견갑 후인 경직","견갑","Retracted_Scapula","능형근/중부승모","소흉근","능형근/중부승모","소흉근","관절 가동성","스트레칭: 능형근/중부승모 | 강화: 소흉근 | 가동성: 관절 가동성","기능적 부하 증가"
"Thoracic Hypokyphosis","흉추 저후만","흉추","Thoracic_Hypokyphosis","기립근 과활성","흉추 굴곡근","기립근 과활성","흉추 굴곡근","관절 가동성","스트레칭: 기립근 과활성 | 강화: 흉추 굴곡근 | 가동성: 관절 가동성","기능적 부하 증가"
"Rib Flare","갈비뼈 플레어","흉곽","Rib_Flare","복직근 단축/횡격막 기능저하","복횡근/횡격막","복직근 단축/횡격막 기능저하","복횡근/횡격막","관절 가동성","스트레칭: 복직근 단축/횡격막 기능저하 | 강화: 복횡근/횡격막 | 가동성: 관절 가동성","기능적 부하 증가"
"Anterior Rib Tilt","전방 흉곽 경사","흉곽","Anterior_Rib_Tilt","복직근/소흉근","횡격막/복횡근","복직근/소흉근","횡격막/복횡근","관절 가동성","스트레칭: 복직근/소흉근 | 강화: 횡격막/복횡근 | 가동성: 관절 가동성","기능적 부하 증가"
"Posterior Rib Tilt","후방 흉곽 경사","흉곽","Posterior_Rib_Tilt","기립근","복부 코어","기립근","복부 코어","관절 가동성","스트레칭: 기립근 | 강화: 복부 코어 | 가동성: 관절 가동성","기능적 부하 증가"
"Lumbar Lateral Shift Left","요추 좌편위","요추","Lumbar_Lateral_Shift_Left","요방형근 좌측","복횡근/둔근 우측","요방형근 좌측","복횡근/둔근 우측","관절 가동성","스트레칭: 요방형근 좌측 | 강화: 복횡근/둔근 우측 | 가동성: 관절 가동성","기능적 부하 증가"
"Lumbar Lateral Shift Right","요추 우편위","요추","Lumbar_Lateral_Shift_Right","요방형근 우측","복횡근/둔근 좌측","요방형근 우측","복횡근/둔근 좌측","관절 가동성","스트레칭: 요방형근 우측 | 강화: 복횡근/둔근 좌측 | 가동성: 관절 가동성","기능적 부하 증가"
"Pelvic Drop Left","좌측 골반 하강","골반","Pelvic_Drop_Left","TFL 좌측","중둔근 우측","TFL 좌측","중둔근 우측","관절 가동성","스트레칭: TFL 좌측 | 강화: 중둔근 우측 | 가동성: 관절 가동성","기능적 부하 증가"
"Pelvic Drop Right","우측 골반 하강","골반","Pelvic_Drop_Right","TFL 우측","중둔근 좌측","TFL 우측","중둔근 좌측","관절 가동성","스트레칭: TFL 우측 | 강화: 중둔근 좌측 | 가동성: 관절 가동성","기능적 부하 증가"
"Hip Internal Rotation Bias","고관절 내회전 편향","고관절","Hip_Internal_Rotation_Bias","TFL/내전근","외회전근","TFL/내전근","외회전근","관절 가동성","스트레칭: TFL/내전근 | 강화: 외회전근 | 가동성: 관절 가동성","기능적 부하 증가"
"Hip External Rotation Bias","고관절 외회전 편향","고관절","Hip_External_Rotation_Bias","외회전근","TFL","외회전근","TFL","관절 가동성","스트레칭: 외회전근 | 강화: TFL | 가동성: 관절 가동성","기능적 부하 증가"
"Hip Flexion Tightness","고관절 굴곡 구축","고관절","Hip_Flexion_Tightness","장요근/대퇴직근","둔근","장요근/대퇴직근","둔근","관절 가동성","스트레칭: 장요근/대퇴직근 | 강화: 둔근 | 가동성: 관절 가동성","기능적 부하 증가"
"Hip Extension Limitation","고관절 신전 제한","고관절","Hip_Extension_Limitation","장요근/대퇴직근","대둔근/햄스트링","장요근/대퇴직근","대둔근/햄스트링","관절 가동성","스트레칭: 장요근/대퇴직근 | 강화: 대둔근/햄스트링 | 가동성: 관절 가동성","기능적 부하 증가"
"Ankle Dorsiflexion Limitation","발목 배측굴곡 제한","발목","Ankle_Dorsiflexion_Limitation","비복근/가자미근","전경골근","비복근/가자미근","전경골근","관절 가동성","스트레칭: 비복근/가자미근 | 강화: 전경골근 | 가동성: 관절 가동성","기능적 부하 증가"
"Ankle Plantarflexion Limitation","발목 저측굴곡 제한","발목","Ankle_Plantarflexion_Limitation","전경골근","비복/가자미","전경골근","비복/가자미","관절 가동성","스트레칭: 전경골근 | 강화: 비복/가자미 | 가동성: 관절 가동성","기능적 부하 증가"
"Calcaneal Valgus","종골 외반","발","Calcaneal_Valgus","비골근","후경골근","비골근","후경골근","관절 가동성","스트레칭: 비골근 | 강화: 후경골근 | 가동성: 관절 가동성","기능적 부하 증가"
"Calcaneal Varus","종골 내반","발","Calcaneal_Varus","후경골근","비골근","후경골근","비골근","관절 가동성","스트레칭: 후경골근 | 강화: 비골근 | 가동성: 관절 가동성","기능적 부하 증가"
"Forefoot Varus","전족 내반","발","Forefoot_Varus","비골근","후경골근","비골근","후경골근","관절 가동성","스트레칭: 비골근 | 강화: 후경골근 | 가동성: 관절 가동성","기능적 부하 증가"
"Forefoot Valgus","전족 외반","발","Forefoot_Valgus","후경골근","비골근","후경골근","비골근","관절 가동성","스트레칭: 후경골근 | 강화: 비골근 | 가동성: 관절 가동성","기능적 부하 증가"
"Leg Length Discrepancy Structural","하지 길이차(구조적)","하지","Leg_Length_Discrepancy_Structural","TFL/요방형근 상승측","중둔근 하강측","TFL/요방형근 상승측","중둔근 하강측","관절 가동성","스트레칭: TFL/요방형근 상승측 | 강화: 중둔근 하강측 | 가동성: 관절 가동성","기능적 부하 증가"
"Leg Length Discrepancy Functional","하지 길이차(기능적)","하지","Leg_Length_Discrepancy_Functional","TFL/요방형근","중둔근","TFL/요방형근","중둔근","관절 가동성","스트레칭: TFL/요방형근 | 강화: 중둔근 | 가동성: 관절 가동성","기능적 부하 증가"
"Patellofemoral Maltracking Lateral","슬개 대퇴 외측 미정렬","무릎","Patellofemoral_Maltracking_Lateral","TFL/VL","VMO","TFL/VL","VMO","관절 가동성","스트레칭: TFL/VL | 강화: VMO | 가동성: 관절 가동성","기능적 부하 증가"
"Patellofemoral Maltracking Medial","슬개 대퇴 내측 미정렬","무릎","Patellofemoral_Maltracking_Medial","VMO","TFL/VL","VMO","TFL/VL","관절 가동성","스트레칭: VMO | 강화: TFL/VL | 가동성: 관절 가동성","기능적 부하 증가"
"Pronation Syndrome","과내전 증후군","발","Pronation_Syndrome","비골근","후경골근","비골근","후경골근","관절 가동성","스트레칭: 비골근 | 강화: 후경골근 | 가동성: 관절 가동성","기능적 부하 증가"
"Supination Syndrome","과외번 증후군","발","Supination_Syndrome","후경골근","비골근","후경골근","비골근","관절 가동성","스트레칭: 후경골근 | 강화: 비골근 | 가동성: 관절 가동성","기능적 부하 증가"
"Cervical Hypolordosis","경추 저전만","경추","Cervical_Hypolordosis","SCM/사각근","심부경부굴근","SCM/사각근","심부경부굴근","관절 가동성","스트레칭: SCM/사각근 | 강화: 심부경부굴근 | 가동성: 관절 가동성","기능적 부하 증가"
"Cervical Hyperlordosis","경추 과전만","경추","Cervical_Hyperlordosis","기립근","심부굴근","기립근","심부굴근","관절 가동성","스트레칭: 기립근 | 강화: 심부굴근 | 가동성: 관절 가동성","기능적 부하 증가"
"Thoracolumbar Junction Stiffness","흉요추 이행부 경직","흉요추","Thoracolumbar_Junction_Stiffness","기립근","다열근","기립근","다열근","관절 가동성","스트레칭: 기립근 | 강화: 다열근 | 가동성: 관절 가동성","기능적 부하 증가"
"Anterior Weight Shift","전방 체중 이동","전신","Anterior_Weight_Shift","대퇴직근/비복근","둔근/햄스트링","대퇴직근/비복근","둔근/햄스트링","관절 가동성","스트레칭: 대퇴직근/비복근 | 강화: 둔근/햄스트링 | 가동성: 관절 가동성","기능적 부하 증가"
"Posterior Weight Shift","후방 체중 이동","전신","Posterior_Weight_Shift","햄스트링/둔근","대퇴직근/장요근","햄스트링/둔근","대퇴직근/장요근","관절 가동성","스트레칭: 햄스트링/둔근 | 강화: 대퇴직근/장요근 | 가동성: 관절 가동성","기능적 부하 증가"
"Scapular Downward Rotation","견갑 하방회전 편향","견갑","Scapular_Downward_Rotation","능형근/거근","상부승모/전거근","능형근/거근","상부승모/전거근","관절 가동성","스트레칭: 능형근/거근 | 강화: 상부승모/전거근 | 가동성: 관절 가동성","기능적 부하 증가"
"Scapular Upward Rotation Insufficiency","견갑 상방회전 부족","견갑","Scapular_Upward_Rotation_Insufficiency","소흉근/능형근","상부승모/전거근","소흉근/능형근","상부승모/전거근","관절 가동성","스트레칭: 소흉근/능형근 | 강화: 상부승모/전거근 | 가동성: 관절 가동성","기능적 부하 증가"
"Humeral Anterior Glide","상완골 전방 미끄러짐","어깨","Humeral_Anterior_Glide","대흉근/소흉근","후하부 회전근개","대흉근/소흉근","후하부 회전근개","관절 가동성","스트레칭: 대흉근/소흉근 | 강화: 후하부 회전근개 | 가동성: 관절 가동성","기능적 부하 증가"
"Glenohumeral IR Deficit","어깨 내회전 결손(GIRD)","어깨","Glenohumeral_IR_Deficit","후하부 관절낭/극하근","전거근/하부승모","후하부 관절낭/극하근","전거근/하부승모","관절 가동성","스트레칭: 후하부 관절낭/극하근 | 강화: 전거근/하부승모 | 가동성: 관절 가동성","기능적 부하 증가"
"Glenohumeral ER Deficit","어깨 외회전 결손","어깨","Glenohumeral_ER_Deficit","대흉근/전면삼각근","극하근/소원추근","대흉근/전면삼각근","극하근/소원추근","관절 가동성","스트레칭: 대흉근/전면삼각근 | 강화: 극하근/소원추근 | 가동성: 관절 가동성","기능적 부하 증가"
"Functional Asymmetry 70","기능적 비대칭 70","전신","Functional_Asymmetry_70","TFL, 요방형근","중둔근, 복횡근","TFL, 요방형근","중둔근, 복횡근","관절 가동성","스트레칭: TFL, 요방형근 | 강화: 중둔근, 복횡근 | 가동성: 관절 가동성","기능적 부하 증가"
"Functional Asymmetry 71","기능적 비대칭 71","전신","Functional_Asymmetry_71","TFL, 요방형근","중둔근, 복횡근","TFL, 요방형근","중둔근, 복횡근","관절 가동성","스트레칭: TFL, 요방형근 | 강화: 중둔근, 복횡근 | 가동성: 관절 가동성","기능적 부하 증가"
"Functional Asymmetry 72","기능적 비대칭 72","전신","Functional_Asymmetry_72","TFL, 요방형근","중둔근, 복횡근","TFL, 요방형근","중둔근, 복횡근","관절 가동성","스트레칭: TFL, 요방형근 | 강화: 중둔근, 복횡근 | 가동성: 관절 가동성","기능적 부하 증가"
"Functional Asymmetry 73","기능적 비대칭 73","전신","Functional_Asymmetry_73","TFL, 요방형근","중둔근, 복횡근","TFL, 요방형근","중둔근, 복횡근","관절 가동성","스트레칭: TFL, 요방형근 | 강화: 중둔근, 복횡근 | 가동성: 관절 가동성","기능적 부하 증가"
"Functional Asymmetry 74","기능적 비대칭 74","전신","Functional_Asymmetry_74","TFL, 요방형근","중둔근, 복횡근","TFL, 요방형근","중둔근, 복횡근","관절 가동성","스트레칭: TFL, 요방형근 | 강화: 중둔근, 복횡근 | 가동성: 관절 가동성","기능적 부하 증가"
"Functional Asymmetry 75","기능적 비대칭 75","전신","Functional_Asymmetry_75","TFL, 요방형근","중둔근, 복횡근","TFL, 요방형근","중둔근, 복횡근","관절 가동성","스트레칭: TFL, 요방형근 | 강화: 중둔근, 복횡근 | 가동성: 관절 가동성","기능적 부하 증가"
"Functional Asymmetry 76","기능적 비대칭 76","전신","Functional_Asymmetry_76","TFL, 요방형근","중둔근, 복횡근","TFL, 요방형근","중둔근, 복횡근","관절 가동성","스트레칭: TFL, 요방형근 | 강화: 중둔근, 복횡근 | 가동성: 관절 가동성","기능적 부하 증가"
"Functional Asymmetry 77","기능적 비대칭 77","전신","Functional_Asymmetry_77","TFL, 요방형근","중둔근, 복횡근","TFL, 요방형근","중둔근, 복횡근","관절 가동성","스트레칭: TFL, 요방형근 | 강화: 중둔근, 복횡근 | 가동성: 관절 가동성","기능적 부하 증가"
"Functional Asymmetry 78","기능적 비대칭 78","전신","Functional_Asymmetry_78","TFL, 요방형근","중둔근, 복횡근","TFL, 요방형근","중둔근, 복횡근","관절 가동성","스트레칭: TFL, 요방형근 | 강화: 중둔근, 복횡근 | 가동성: 관절 가동성","기능적 부하 증가"
"Functional Asymmetry 79","기능적 비대칭 79","전신","Functional_Asymmetry_79","TFL, 요방형근","중둔근, 복횡근","TFL, 요방형근","중둔근, 복횡근","관절 가동성","스트레칭: TFL, 요방형근 | 강화: 중둔근, 복횡근 | 가동성: 관절 가동성","기능적 부하 증가"
"Functional Asymmetry 80","기능적 비대칭 80","전신","Functional_Asymmetry_80","TFL, 요방형근","중둔근, 복횡근","TFL, 요방형근","중둔근, 복횡근","관절 가동성","스트레칭: TFL, 요방형근 | 강화: 중둔근, 복횡근 | 가동성: 관절 가동성","기능적 부하 증가"
"Functional Asymmetry 81","기능적 비대칭 81","전신","Functional_Asymmetry_81","TFL, 요방형근","중둔근, 복횡근","TFL, 요방형근","중둔근, 복횡근","관절 가동성","스트레칭: TFL, 요방형근 | 강화: 중둔근, 복횡근 | 가동성: 관절 가동성","기능적 부하 증가"
"Functional Asymmetry 82","기능적 비대칭 82","전신","Functional_Asymmetry_82","TFL, 요방형근","중둔근, 복횡근","TFL, 요방형근","중둔근, 복횡근","관절 가동성","스트레칭: TFL, 요방형근 | 강화: 중둔근, 복횡근 | 가동성: 관절 가동성","기능적 부하 증가"
"Functional Asymmetry 83","기능적 비대칭 83","전신","Functional_Asymmetry_83","TFL, 요방형근","중둔근, 복횡근","TFL, 요방형근","중둔근, 복횡근","관절 가동성","스트레칭: TFL, 요방형근 | 강화: 중둔근, 복횡근 | 가동성: 관절 가동성","기능적 부하 증가"
"Functional Asymmetry 84","기능적 비대칭 84","전신","Functional_Asymmetry_84","TFL, 요방형근","중둔근, 복횡근","TFL, 요방형근","중둔근, 복횡근","관절 가동성","스트레칭: TFL, 요방형근 | 강화: 중둔근, 복횡근 | 가동성: 관절 가동성","기능적 부하 증가"
"Functional Asymmetry 85","기능적 비대칭 85","전신","Functional_Asymmetry_85","TFL, 요방형근","중둔근, 복횡근","TFL, 요방형근","중둔근, 복횡근","관절 가동성","스트레칭: TFL, 요방형근 | 강화: 중둔근, 복횡근 | 가동성: 관절 가동성","기능적 부하 증가"
"Functional Asymmetry 86","기능적 비대칭 86","전신","Functional_Asymmetry_86","TFL, 요방형근","중둔근, 복횡근","TFL, 요방형근","중둔근, 복횡근","관절 가동성","스트레칭: TFL, 요방형근 | 강화: 중둔근, 복횡근 | 가동성: 관절 가동성","기능적 부하 증가"
"Functional Asymmetry 87","기능적 비대칭 87","전신","Functional_Asymmetry_87","TFL, 요방형근","중둔근, 복횡근","TFL, 요방형근","중둔근, 복횡근","관절 가동성","스트레칭: TFL, 요방형근 | 강화: 중둔근, 복횡근 | 가동성: 관절 가동성","기능적 부하 증가"
"Functional Asymmetry 88","기능적 비대칭 88","전신","Functional_Asymmetry_88","TFL, 요방형근","중둔근, 복횡근","TFL, 요방형근","중둔근, 복횡근","관절 가동성","스트레칭: TFL, 요방형근 | 강화: 중둔근, 복횡근 | 가동성: 관절 가동성","기능적 부하 증가"
