key,posture_ko,posture_en,region,joint_mechanics,functional_line,tight_primary,tight_secondary,tight_description,weak_primary,weak_secondary,weak_description,causes,symptoms,compensation_patterns,stretch_focus,strengthen_focus,mobility_focus,observation,tests,palpation,clinical_significance,ai_metrics
Genu Valgum,X자 다리,Genu Valgum,무릎 (Knee),"무릎 내측 수렴, Q-angle 증가",Spiral/Lateral 불균형,"내전근 (Adductors), 내측광근 (VM)",비복근 (Gastrocnemius),단축/과활성 패턴,"중둔근 (Gluteus Medius), 외회전근 (External Rotators)",외측광근 (VL),약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,"내전근 (Adductors), 내측광근 (VM)","중둔근 (Gluteus Medius), 외회전근 (External Rotators)",관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""KA"": ""< 175°"", ""QAngle"": ""> 20°""}"
Genu Varum,O자 다리,Genu Varum,무릎 (Knee),"무릎 외측 벌어짐, Q-angle 감소",Lateral Line 우세,"외측광근 (VL), 비복근 (Gastrocnemius)",대퇴이두 (Biceps Femoris),단축/과활성 패턴,"내전근 (Adductors), 내측광근 (VMO)",중둔근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,"외측광근 (VL), 비복근 (Gastrocnemius)","내전근 (Adductors), 내측광근 (VMO)",관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""KA"": ""> 185°"", ""QAngle"": ""< 10°""}"
Genu Recurvatum,무릎 과신전,Genu Recurvatum,무릎 (Knee),슬관절 과신전 정렬,SBL 우세,"비복근, 슬와근 (Popliteus)",대퇴사두 (Quadriceps),단축/과활성 패턴,"햄스트링, 둔근",전경골근 (Tibialis Anterior),약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,"비복근, 슬와근 (Popliteus)","햄스트링, 둔근",관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""KneeExt"": ""> 5°""}"
Knee Flexion Contracture,무릎 굴곡 구축,Knee Flexion Contracture,무릎 (Knee),슬관절 굴곡 부족,SBL 과활성,"햄스트링, 비복근",대퇴사두,단축/과활성 패턴,"대퇴사두, 둔근",전경골근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,"햄스트링, 비복근","대퇴사두, 둔근",관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""KneeFlexionROM"": ""< 120°""}"
Increased Q-Angle,Q각 증가,Increased Q-Angle,무릎 (Knee),슬개 외측 압박 경향,Spiral Line 불균형,"TFL, 외측광근 (VL)",비복근,단축/과활성 패턴,"내측광근 (VMO), 중둔근",외회전근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,"TFL, 외측광근 (VL)","내측광근 (VMO), 중둔근",관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""QAngle"": ""> 20°""}"
Decreased Q-Angle,Q각 감소,Decreased Q-Angle,무릎 (Knee),슬개 정렬 내측화 경향,Lateral Line 우세,"내전근, 내측광근",비복근,단축/과활성 패턴,"외측광근, 중둔근",외회전근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,"내전근, 내측광근","외측광근, 중둔근",관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""QAngle"": ""< 10°""}"
Excessive Tibial Inclination,과도한 경골 경사,Excessive Tibial Inclination,하퇴 (Lower Leg),경골 전방경사 증가,SBL/SFL 불균형,"비복근, 가자미근 (Soleus)",비골근 (Peroneals),단축/과활성 패턴,"전경골근, 햄스트링",둔근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,"비복근, 가자미근 (Soleus)","전경골근, 햄스트링",관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""Tibial"": ""> 10°""}"
Internal Tibial Torsion,경골 내회전 변형,Internal Tibial Torsion,하퇴 (Lower Leg),경골 내회전 편향,Spiral Line 과활성,"경골근막, 내측 햄스트링",비복근,단축/과활성 패턴,"외회전근, 중둔근",전경골근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,"경골근막, 내측 햄스트링","외회전근, 중둔근",관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""TibialRotation"": ""> 10° IR""}"
External Tibial Torsion,경골 외회전 변형,External Tibial Torsion,하퇴 (Lower Leg),경골 외회전 편향,Spiral Line 과활성,"비복근, 외측 햄스트링",전경골근,단축/과활성 패턴,"중둔근, VMO",내전근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,"비복근, 외측 햄스트링","중둔근, VMO",관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""TibialRotation"": ""> 10° ER""}"
Trendelenburg Sign,트렌델렌버그 징후,Trendelenburg Sign,고관절 (Hip),단하지 지지 시 골반 하강,Lateral Line 약화,"TFL, QF(Quadratus Femoris)",내전근,단축/과활성 패턴,중둔근 (Gluteus Medius),대둔근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,"TFL, QF(Quadratus Femoris)",중둔근 (Gluteus Medius),관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""HipAbdWeak"": ""+ (MRC ≤ 4)""}"
Femoral Anteversion,대퇴 전염,Femoral Anteversion,고관절 (Hip),대퇴 경부 전염 증가,Spiral Line 불균형,"TFL, 내전근",외회전근,단축/과활성 패턴,"외회전근, 중둔근",둔근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,"TFL, 내전근","외회전근, 중둔근",관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""FAngle"": ""> 20°""}"
Femoral Retroversion,대퇴 후염,Femoral Retroversion,고관절 (Hip),대퇴 경부 후염 증가,Spiral Line 불균형,"외회전근, 중둔근",TFL,단축/과활성 패턴,"TFL, 내전근",둔근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,"외회전근, 중둔근","TFL, 내전근",관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""FAngle"": ""< 10°""}"
Pes Planus,평발,Pes Planus,발 (Foot),내측 종아치 저하/과내전,SFL/Lat Line 불균형,"비골근, 후경골건 과부하",비복근,단축/과활성 패턴,"후경골근 (Tibialis Posterior), 전경골근",중둔근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,"비골근, 후경골건 과부하","후경골근 (Tibialis Posterior), 전경골근",관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""FBA"": ""Excess Pronation""}"
Pes Cavus,요족,Pes Cavus,발 (Foot),과외번/아치 과상승,Lateral Line 우세,"비복근, 전경골근",비골근,단축/과활성 패턴,"비골근, 후경골근",중둔근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,"비복근, 전경골근","비골근, 후경골근",관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""FBA"": ""Excess Supination""}"
Hallux Valgus,무지외반증,Hallux Valgus,발 (Foot),제1중족지 관절 외반 변형,전족부 불균형,종자골 주변 근막,비골근,단축/과활성 패턴,발 intrinsic (발바닥 내재근),후경골근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,종자골 주변 근막,발 intrinsic (발바닥 내재근),관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""HalluxValgus"": ""> 15°""}"
Toe-Out Gait,토우 아웃 보행,Toe-Out Gait,발/하지,발끝 바깥 방향,Spiral Line 편향,"외회전근, 비골근",비복근,단축/과활성 패턴,"전경골근, 중둔근",후경골근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,"외회전근, 비골근","전경골근, 중둔근",관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""FootProgression"": ""> +10°""}"
Toe-In Gait,토우 인 보행,Toe-In Gait,발/하지,발끝 안쪽 방향,Spiral Line 편향,"내전근, TFL",외회전근,단축/과활성 패턴,"외회전근, 중둔근",후경골근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,"내전근, TFL","외회전근, 중둔근",관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""FootProgression"": ""< -5°""}"
Head Tilt Left,머리 좌측 기울기,Head Tilt Left,경추,측굴 편향,Lateral Line 불균형,흉쇄유돌근/사각근,상부승모,단축/과활성 패턴,심부경부굴근,하부승모,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,흉쇄유돌근/사각근,심부경부굴근,관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""HTA"": ""> 3° Left""}"
Head Tilt Right,머리 우측 기울기,Head Tilt Right,경추,측굴 편향,Lateral Line 불균형,흉쇄유돌근/사각근,상부승모,단축/과활성 패턴,심부경부굴근,하부승모,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,흉쇄유돌근/사각근,심부경부굴근,관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""HTA"": ""> 3° Right""}"
Cervical Rotation Preference,경추 회전 편향,Cervical Rotation Preference,경추,회전 편향,Spiral Line,SCM/상부승모,사각근,단축/과활성 패턴,심부경부굴근,하부승모,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,SCM/상부승모,심부경부굴근,관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""CervRotPref"": ""Present""}"
Elevated Shoulder Left,좌측 어깨 상승,Elevated Shoulder Left,견갑,견갑 상승,SFL/Lat Line,상부승모/견갑거근,소흉근,단축/과활성 패턴,하부승모/능형근,전거근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,상부승모/견갑거근,하부승모/능형근,관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""STA"": ""> 3° Left""}"
Elevated Shoulder Right,우측 어깨 상승,Elevated Shoulder Right,견갑,견갑 상승,SFL/Lat Line,상부승모/견갑거근,소흉근,단축/과활성 패턴,하부승모/능형근,전거근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,상부승모/견갑거근,하부승모/능형근,관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""STA"": ""> 3° Right""}"
Scapular Winging,견갑 이개,Scapular Winging,견갑,견갑 내측연 들림,Serratus Dysfunction,전거근 약화 보상으로 승모/능형 과활성,소흉근,단축/과활성 패턴,전거근,하부승모,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,전거근 약화 보상으로 승모/능형 과활성,전거근,관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""SAA"": ""> 10°"", ""WingSign"": ""+""}"
Protracted Scapula,견갑 전인,Protracted Scapula,견갑,견갑 전인,AFL 과활성,소흉근/대흉근,상부승모,단축/과활성 패턴,전거근/하부승모,능형근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,소흉근/대흉근,전거근/하부승모,관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""SAA"": ""> 10°""}"
Retracted Scapula,견갑 후인 경직,Retracted Scapula,견갑,견갑 후인 고정,Back Line,능형근/중부승모,하부승모,단축/과활성 패턴,소흉근,전거근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,능형근/중부승모,소흉근,관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""SAA"": ""< 0°""}"
Thoracic Hypokyphosis,흉추 저후만,Thoracic Hypokyphosis,흉추,흉추 편평,SBL 우세,기립근 과활성,소흉근,단축/과활성 패턴,흉추 굴곡근,하부승모,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,기립근 과활성,흉추 굴곡근,관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""TIA"": ""≈0°""}"
Rib Flare,갈비뼈 플레어,Rib Flare,흉곽,전벽 상승,Anterior Rib Tilt,복직근 단축/횡격막 기능저하,요방형근,단축/과활성 패턴,복횡근/횡격막,내/외복사근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,복직근 단축/횡격막 기능저하,복횡근/횡격막,관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""RibFlare"": ""Present""}"
Anterior Rib Tilt,전방 흉곽 경사,Anterior Rib Tilt,흉곽,흉곽 전경사,SFL 과활성,복직근/소흉근,기립근,단축/과활성 패턴,횡격막/복횡근,하부승모,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,복직근/소흉근,횡격막/복횡근,관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""TIA"": ""> 5°""}"
Posterior Rib Tilt,후방 흉곽 경사,Posterior Rib Tilt,흉곽,흉곽 후경사,SBL 과활성,기립근,복직근,단축/과활성 패턴,복부 코어,하부승모,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,기립근,복부 코어,관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""TIA"": ""< -5°""}"
Lumbar Lateral Shift Left,요추 좌편위,Lumbar Lateral Shift Left,요추,체간 좌편위,Lat Line,요방형근 좌측,기립근,단축/과활성 패턴,복횡근/둔근 우측,중둔근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,요방형근 좌측,복횡근/둔근 우측,관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""TD"": ""> 3° Left""}"
Lumbar Lateral Shift Right,요추 우편위,Lumbar Lateral Shift Right,요추,체간 우편위,Lat Line,요방형근 우측,기립근,단축/과활성 패턴,복횡근/둔근 좌측,중둔근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,요방형근 우측,복횡근/둔근 좌측,관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""TD"": ""> 3° Right""}"
Pelvic Drop Left,좌측 골반 하강,Pelvic Drop Left,골반,좌측 골반 하강,Lat Line,TFL 좌측,요방형근 우측,단축/과활성 패턴,중둔근 우측,둔근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,TFL 좌측,중둔근 우측,관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""POA"": ""> 3° Left""}"
Pelvic Drop Right,우측 골반 하강,Pelvic Drop Right,골반,우측 골반 하강,Lat Line,TFL 우측,요방형근 좌측,단축/과활성 패턴,중둔근 좌측,둔근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,TFL 우측,중둔근 좌측,관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""POA"": ""> 3° Right""}"
Hip Internal Rotation Bias,고관절 내회전 편향,Hip Internal Rotation Bias,고관절,내회전 과다,Spiral Line,TFL/내전근,비복근,단축/과활성 패턴,외회전근,중둔근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,TFL/내전근,외회전근,관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""HipIR"": ""> 45°""}"
Hip External Rotation Bias,고관절 외회전 편향,Hip External Rotation Bias,고관절,외회전 과다,Spiral Line,외회전근,중둔근,단축/과활성 패턴,TFL,내전근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,외회전근,TFL,관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""HipER"": ""> 60°""}"
Hip Flexion Tightness,고관절 굴곡 구축,Hip Flexion Tightness,고관절,굴곡 구축,SFL 과활성,장요근/대퇴직근,TFL,단축/과활성 패턴,둔근,복부 코어,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,장요근/대퇴직근,둔근,관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""HipFlexion"": ""< 110°""}"
Hip Extension Limitation,고관절 신전 제한,Hip Extension Limitation,고관절,신전 제한,DFL 억제,장요근/대퇴직근,TFL,단축/과활성 패턴,대둔근/햄스트링,다열근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,장요근/대퇴직근,대둔근/햄스트링,관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""HipExtension"": ""< 10°""}"
Ankle Dorsiflexion Limitation,발목 배측굴곡 제한,Ankle Dorsiflexion Limitation,발목,배측굴곡 제한,SBL 과활성,비복근/가자미근,TFL,단축/과활성 패턴,전경골근,중둔근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,비복근/가자미근,전경골근,관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""AnkleDF"": ""< 10°""}"
Ankle Plantarflexion Limitation,발목 저측굴곡 제한,Ankle Plantarflexion Limitation,발목,저측굴곡 제한,SFL 억제,전경골근,비골근,단축/과활성 패턴,비복/가자미,햄스트링,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,전경골근,비복/가자미,관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""AnklePF"": ""< 40°""}"
Calcaneal Valgus,종골 외반,Calcaneal Valgus,발,종골 외반,Lat Line,비골근,후경골근,단축/과활성 패턴,후경골근,전경골근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,비골근,후경골근,관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""Rearfoot"": ""Valgus""}"
Calcaneal Varus,종골 내반,Calcaneal Varus,발,종골 내반,Medial Bias,후경골근,비골근,단축/과활성 패턴,비골근,전경골근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,후경골근,비골근,관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""Rearfoot"": ""Varus""}"
Forefoot Varus,전족 내반,Forefoot Varus,발,전족 내반,Medial Bias,비골근,후경골근,단축/과활성 패턴,후경골근,전경골근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,비골근,후경골근,관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""Forefoot"": ""Varus""}"
Forefoot Valgus,전족 외반,Forefoot Valgus,발,전족 외반,Lateral Bias,후경골근,비골근,단축/과활성 패턴,비골근,전경골근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,후경골근,비골근,관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""Forefoot"": ""Valgus""}"
