csvOrder,Exercise_Name_KR,Exercise_Name_EN,Main_Strengthen_Muscles,Main_Stretch_Muscles,How_to_Perform_Step_by_Step,Spring_Traditional,Reps,Breathing_Pattern,References
30,롱 스파인,Long Spine,"복직근, 대둔근, 코어","고관절 굴곡근, 흉곽","다리 스프링으로 위로 올려 롱 스파인 마사지.",1 Red+1 Yellow each,6,"Inhale up, Exhale down","Jay Grimes 'Long Spine Massage'"
31,세미서클,Semicircle,"복직근, 햄스트링, 대둔근","고관절 굴곡근","누워서 다리 스프링으로 반원 그리기.",1 Red each,3+3,"Exhale circle","Peak Pilates Cadillac"
32,컨트롤 푸시 다운,Control Push Down,"복직근, 삼두근, 전거근","요추 기립근","서서 푸시쓰루 바 누르며 플리에.",1 Red top,8,"Exhale down","Romana 1999"
33,플라잉 이글,Flying Eagle,"중둔근, 대둔근, 코어","내전근","무릎 꿇고 다리 스프링, 뒤로 날아가기.",1 Blue each,6,"Inhale fly","Jay Grimes Advanced"
34,백 벤드,Back Bend,"요추 기립근, 흉곽 신전근","복직근","트래피즈에 매달려 뒤로 아치.",Body weight,4-6,"Inhale open","Joseph Pilates Hanging"
35,사이드 벤드,Side Bend,"복사근, 요방형근, 중둔근","측면 광배근","트래피즈 옆으로 잡고 옆으로 아치.",Body weight,4+4,"Inhale bend","Romana's Side Bend"
36,스플릿 시리즈,Split Series,"대퇴사두근, 햄스트링, 중둔근","고관절 굴곡근","서서 다리 스프링 앞뒤/옆으로 스플릿.",1 Red each,5+5,"Exhale split","Vintage Pilates"
37,헝잉 인투 스트랩,Hanging into Straps,"전신 코어, 견갑 안정성","요추 기립근","트래피즈에 매달려 다리 스트랩에 넣고 플랭크.",Body weight,6-8 breaths,"Inhale-exhale deep","Jay Grimes 'The hardest exercise'"
38,인버전 행잉,Inversion Hanging,"코어, 대둔근, 후면 체인","복직근","트래피즈에 거꾸로 매달려 롤업.",Body weight,3-5,"Exhale roll","Joseph Pilates Original"
39,밸런스 컨트롤,Balance Control,"복직근, 대둔근, 코어","요추 기립근","트래피즈에 거꾸로 매달려 Teaser.",Body weight,3-5,"Inhale hold","Romana's Balance Control"
40,브리딩 위드 푸시쓰루,Breathing with Push-Thru,"횡격막, 복횡근, 흉곽","요추 기립근","누워서 푸시쓰루 바 잡고 깊게 호흡.",1 Yellow top,6 breaths,"Inhale wide, Exhale narrow","Jay Grimes 2023"
41,레그 스프링 사이드 킥,Leg Spring Side Kick,"중둔근, 복사근","고관절 내전근","옆으로 누워 다리 스프링 앞뒤 스윙.",1 Red,10+10,"Inhale forward","Romana's Side Leg Springs"
42,레그 스프링 비트,Leg Spring Beats,"내전근, 대둔근","고관절 굴곡근","옆으로 누워 다리 빠르게 치기.",1 Red,50-100,"Quick breath","Vintage Pilates"
43,그랜드 서클,Grand Circle,"복직근, 중둔근, 코어","요방형근","누워서 다리 스프링으로 큰 원 360°.",1 Red each,5+5,"Inhale one way","Jay Grimes Grand Circle"
44,워킹,Walking,"대퇴사두근, 비복근/가자미근","햄스트링","누워서 다리 스프링, 걷듯이 번갈아 내리기.",1 Red each,20-30 steps,"Inhale-exhale natural","Romana's Walking"
45,런닝,Running,"대퇴사두근, 종아리, 발목","햄스트링","Walking보다 빠르게 뛰듯이.",1 Red each,30-50 steps,"Quick breath","Joseph Pilates Film"
46,펠빅 리프트,Pelvic Lift,"대둔근, 햄스트링, 코어","고관절 굴곡근","누워서 다리 스프링, 골반 들어올리기.",1 Red each,8,"Exhale lift","Peak Pilates"
47,사이드 킥 닐링,Side Kick Kneeling,"중둔근, 복사근, 코어","고관절 내전근","무릎 꿇고 다리 스프링 앞뒤+원.",1 Red,6+6,"Inhale circle","Romana Advanced"
48,캣 온 캐딜락,Cat on Cadillac,"복직근, 견갑 전인근","요추 기립근","네 발로 푸시쓰루 바 잡고 라운드-아치.",1 Red top,8,"Exhale round","Jay Grimes"
49,싸이 스트레치,Thigh Stretch,"대퇴사두근, 코어","고관절 굴곡근","무릎 꿇고 푸시쓰루 바 잡고 뒤로.",1 Red top,8,"Exhale back","Romana's Thigh Stretch"
50,풀링 스트랩,Pulling Straps,"광배근, 하부 승모근","대흉근","엎드려 롤다운바 T자 당기기.",2 Yellow,8,"Exhale pull","Return to Life"
51,티 스트랩,T-Straps,"능형근, 중부 승모근","소흉근","T자 만들며 당기기.",2 Yellow,8,"Exhale T","Romana's T"
52,체스트 익스팬션,Chest Expansion,"하부 승모근, 능형근","대흉근","서서 롤다운바 잡고 가슴 열기.",2 Yellow,8,"Inhale open","Joseph Pilates 1945"
53,암 스프링 업워드,Arm Springs Upward,"후면 삼각근, 하부 승모근","대흉근","서서 암 스프링 위로 들어올리기.",1 Yellow each,8,"Exhale up","Vintage Pilates"
54,암 스프링 다운워드,Arm Springs Downward,"삼두근, 광배근","전면 삼각근","서서 아래로 누르기.",1 Yellow each,8,"Exhale down","Romana"
55,트위스트 위드 롤다운 바,Twist with Roll Down Bar,"복사근, 외복사근","요방형근","서서 회전하며 바 당기기.",2 Yellow,6+6,"Exhale twist","Jay Grimes"
56,사이드 벤드 위드 푸시쓰루,Side Bend with Push-Thru,"복사근, 중둔근","측면 광배근","옆으로 앉아 푸시쓰루 바 옆으로 굽히기.",1 Red top,5+5,"Inhale bend","Romana"
57,헝잉 스완,Hanging Swan,"요추 기립근, 대둔근","복직근","트래피즈에 매달려 스완.",Body weight,4-6,"Inhale open","Joseph Pilates"
58,풀 프론트,Full Front,"전신 코어, 대퇴사두근","햄스트링","트래피즈에 매달려 풀 프론트 스플릿.",Body weight,3+3,"Exhale split","Jay Grimes 'The ultimate control'"
