Order,Exercise_Name_KR,Exercise_Name_EN,Main_Strengthen_Muscles (주요 강화 근육),Main_Stretch_Muscles (주요 스트레칭 근육),How_to_Perform_Step_by_Step (상세 동작 설명),Reps,Breathing_Pattern,References
11,쏘,Saw,"복사근, 광배근, 능형근","햄스트링, 요방형근",1. 준비: 바닥에 곧게 앉아 다리를 어깨너비보다 넓게 벌리고 폅니다. 팔은 옆으로 나란히 폅니다. 2. 회전: 숨을 들이마시며 골반을 고정한 채 상체를 한쪽으로 회전시킵니다. 3. 톱질: 숨을 내쉬며 회전한 방향의 반대쪽 손을 발끝 바깥쪽을 향해 C 커브로 말아 뻗습니다. 마치 톱으로 톱질하듯이 3번 짧게 끊어 뻗습니다. 4. 돌아오기: 숨을 들이마시며 회전을 풀고 중앙으로 돌아옵니다. 5. 집중: **앉은 뼈(Sit Bone)**는 바닥에 고정하고 상체만 회전하여 햄스트링과 측면을 늘려줍니다.,3+3,"Inhale twist, Exhale saw",Romana Kryzanowska 2000
12,스완 다이브,Swan Dive,"요추 기립근, 대둔근, 후면 체인","복직근, 고관절 굴곡근","1. 준비: 엎드려 누워 이마는 바닥에 대고, 양손은 어깨 아래 바닥에 둡니다. 발끝은 모아 폅니다. 2. 스완 자세: 숨을 들이마시며 등 근육을 사용하여 상체를 들어 올리고 양손을 바닥에서 살짝 뗍니다. 복부는 매트에서 살짝 들어 올립니다. 3. 로킹 시작 (고급): 숨을 내쉬며 복부를 강하게 수축하여 상체를 숙이는 동시에 다리를 들어 올리고, 다시 상체를 들어 올리는 동시에 다리를 숙여 **앞뒤로 연속적인 로킹(Rocking)**을 시작합니다. 4. 주의: 중력을 이용하되 복부의 통제력으로 움직임의 크기와 속도를 제어하며 허리가 아닌 전신 후면을 사용합니다.",6,"Inhale rock forward, Exhale back",Jay Grimes ‘Don’t fall’
13,원 레그 킥,One Leg Kick,"대둔근, 햄스트링, 요추 기립근",고관절 굴곡근,"1. 준비: 엎드려 누워 팔꿈치로 바닥을 지지하고 상체를 들어 올립니다. 복부를 당겨 허리가 과도하게 꺾이지 않도록 합니다. 2. 킥: 숨을 들이마시며 한쪽 무릎을 구부려 엉덩이 쪽으로 빠르게 두 번(Double Pulse) 킥합니다. 3. 뻗기: 숨을 내쉬며 다리를 길게 펴서 바닥에 내려놓거나 들어 올립니다. 4. 교대: 다음 번에는 반대쪽 다리로 반복합니다. 5. 집중: 골반이 흔들리지 않도록 복부와 둔근을 강하게 유지하고, 킥을 할 때 햄스트링의 수축에 집중합니다.",8+8,"Inhale kick-kick, Exhale stretch",Return to Life p.58
14,더블 레그 킥,Double Leg Kick,"대둔근, 햄스트링, 견갑 내전근","고관절 굴곡근, 흉곽","1. 준비: 엎드려 누워 양손을 등 뒤에서 깍지 끼거나 아래쪽으로 모으고, 뺨을 한쪽으로 돌립니다. 2. 킥: 숨을 들이마시며 양 무릎을 동시에 구부려 엉덩이 쪽으로 세 번(Triple Pulse) 킥합니다. 3. 신전: 숨을 내쉬며 깍지 낀 손을 뒤로 강하게 뻗어 가슴을 열고 상체와 다리를 동시에 들어 올립니다. 이때 고개는 반대쪽으로 돌립니다. 4. 내리기: 숨을 들이마시며 다시 원래 자세로 돌아갑니다. 5. 주의: 견갑골 내전근을 사용하여 가슴을 활짝 열고, 킥을 할 때 고관절 굴곡근을 늘려줍니다.",6+6,"Inhale kick-kick-kick, Exhale stretch",Romana’s Double Kick
15,넥 풀,Neck Pull,"복직근, 햄스트링, 척추 기립근",요추 기립근,"1. 준비: 바닥에 곧게 앉아 다리를 펴고, 양손을 머리 뒤에서 깍지 낍니다. 2. 말아 내리기: 숨을 내쉬며 복부의 통제력으로 C 커브로 척추를 하나씩 말아 등을 대고 눕습니다. (Roll Down) 3. 올라오기: 숨을 들이마시며 (또는 내쉬며) 머리부터 들어 올리고 복직근을 사용하여 척추를 C 커브로 말아 다시 앉은 자세로 올라옵니다. 4. 전방 굴곡: 올라온 후 팔꿈치를 넓게 열고 척추를 C 커브로 앞으로 멀리 뻗어 전방 굴곡 자세를 취합니다. 이때 햄스트링을 늘립니다. 5. 세우기: 척추를 곧게 세워 준비 자세로 돌아옵니다. 6. 집중: 팔의 도움 없이 복부의 힘만으로 롤 업/다운을 수행하며 햄스트링을 늘립니다.",6,"Exhale down, Inhale up",Joseph Pilates 1945 p.62
16,시저스,Scissors,"복직근, 장요근, 코어","햄스트링, 고관절 굴곡근","1. 준비: 등을 대고 누워 다리를 머리 위로 넘겨 골반을 들어 올립니다 (Shoulder Stand). 양손으로 허리를 지지하고 다리를 천장으로 뻗습니다. 2. 가위질: 한쪽 다리를 앞으로 (얼굴 쪽으로) 내리고, 반대쪽 다리는 뒤로 (머리 뒤쪽으로) 내립니다. 마치 가위질을 하듯이 다리를 크게 벌렸다가 모읍니다. 3. 교대: 숨을 들이마시거나 내쉬며 다리를 빠르게 교대합니다. 4. 골반 고정: 동작 내내 골반이 흔들리거나 움직이지 않도록 복부의 통제력을 사용합니다. 5. 집중: 햄스트링을 늘리는 동시에 복직근과 장요근의 힘으로 다리를 움직입니다.",6+6,Inhale switch,Return to Life p.64
17,바이시클,Bicycle,"복직근, 장요근, 햄스트링",고관절 굴곡근,"1. 준비: 시저스와 동일하게 골반을 들어 올리고 허리를 지지한 상태에서 다리를 천장으로 뻗습니다. 2. 페달 돌리기: 자전거 페달을 돌리듯이 무릎을 구부렸다가 펴는 동작을 연속적으로 수행합니다. 3. 순서: 한 다리는 앞으로 길게 뻗고, 다른 다리는 가슴 쪽으로 구부립니다. 4. 집중: 고관절과 무릎의 유연성을 기르는 동시에 복부의 통제력으로 몸통의 안정성을 유지합니다.",6+6,"Inhale bend, Exhale stretch",Jay Grimes Bicycle
18,숄더 브릿지,Shoulder Bridge,"대둔근, 햄스트링, 코어",고관절 굴곡근,"1. 준비: 등을 대고 누워 무릎을 세우고 발을 엉덩이 너비로 둡니다. 2. 롤 업: 숨을 들이마시며 골반을 말아 척추를 하나씩 들어 올려 어깨-엉덩이-무릎이 일직선이 되도록 합니다. 3. 다리 뻗기: 숨을 내쉬며 한쪽 다리를 천장으로 뻗습니다. 4. 다리 움직임: 다리를 바닥 쪽으로 내렸다가 (Inhale) 다시 천장으로 올립니다 (Exhale). 5. 교대 및 롤 다운: 다리를 바꾼 후 (3~5회 반복) 척추를 하나씩 말아 바닥으로 천천히 내려 놓습니다. 6. 집중: 둔근과 햄스트링의 강력한 수축으로 골반을 지지하고, 허리가 과신전되지 않도록 복부를 조입니다.",3+3,"Inhale lift, Exhale kick",Romana’s Spine Corrector 버전과 동일
19,스파인 트위스트,Spine Twist,"복사근, 외복사근, 흉곽 회전근",요방형근,1. 준비: 바닥에 곧게 앉아 다리를 곧게 펴고 발끝을 천장으로 당깁니다. 팔을 옆으로 나란히 폅니다. 2. 회전: 숨을 내쉬며 척추를 수직으로 길게 늘린 상태에서 상체를 한쪽으로 깊게 회전합니다. 골반은 바닥에 고정하여 움직이지 않도록 합니다. 3. 펄스: 회전의 끝에서 한 번 더 짧게(Twist-Twist) 회전합니다. 4. 중앙: 숨을 들이마시며 중앙으로 돌아옵니다. 5. 주의: 앉은 키가 작아지지 않도록 척추 기립근을 사용하여 몸통을 최대한 길게 늘린 상태에서 회전합니다.,3+3,"Exhale twist-twist, Inhale center",Return to Life p.70
20,잭 나이프,Jackknife,"복직근, 대둔근, 견갑 안정성",요추 기립근,"1. 준비: 등을 대고 누워 팔은 몸통 옆에 둡니다. 다리를 90도로 들어 올립니다. 2. 롤 오버: 숨을 내쉬며 롤 오버와 같이 골반을 머리 위로 넘깁니다. 3. 잭나이프: 견갑골로 몸통을 지지한 상태에서 복부와 둔근의 힘으로 다리를 천장으로 곧게 뻗어 올립니다. 몸이 잭나이프처럼 어깨-골반-발이 일직선을 이룹니다. 4. 내려오기: 숨을 들이마시며 척추를 하나씩 말아 바닥으로 천천히 내려 놓습니다. 다리는 다시 90도에서 멈춥니다. 5. 집중: 복부와 둔근의 강력한 수축으로 다리를 들어 올리고, 척추의 통제된 분절을 연습합니다.",6,"Exhale lift, Inhale down",Jay Grimes ‘Spine massage’
21,사이드 킥,Side Kick,"중둔근, 복사근, 코어",고관절 굴곡근,"1. 준비: 옆으로 누워 머리부터 발끝까지 일직선을 만듭니다. 아래쪽 팔로 머리를 지지하고 위쪽 손은 가슴 앞에 둡니다. 2. 다리 들기: 위쪽 다리를 골반 높이로 들어 올립니다. 3. 앞뒤 스윙: 숨을 들이마시며 다리를 앞으로 킥킥 차고, 숨을 내쉬며 둔근을 사용하여 다리를 뒤로 길게 뻗습니다. 4. 골반 고정: 동작 내내 골반이 앞뒤로 흔들리거나 몸통이 기울어지지 않도록 복사근과 중둔근을 사용하여 코어를 강하게 고정합니다. 5. 집중: 다리를 움직이는 것보다 몸통을 안정화시키는 것에 중점을 둡니다.",10+10,"Inhale forward, Exhale back",Romana’s Side Series
22,사이드 킥 닐링,Side Kick Kneeling,"중둔근, 복사근, 코어 안정성",고관절 내전근,1. 준비: 무릎을 꿇고 옆으로 앉아 (Mermaid 자세) 아래쪽 팔로 바닥을 짚어 상체를 지지합니다. 위쪽 다리는 옆으로 곧게 폅니다. 2. 앞뒤 스윙: 사이드 킥과 동일하게 다리를 골반 높이로 유지하며 앞뒤로 스윙합니다. 3. 원 그리기: 5번 앞뒤 스윙 후 다리로 원을 그리는 동작(Circle)을 5번 반복합니다. 4. 주의: 몸통이 기울어지지 않도록 복부와 중둔근을 사용하여 몸통을 수직으로 유지합니다.,5+5,Inhale circle,Kathryn Ross-Nash
23,티저,Teaser,"복직근, 장요근, 코어","요추 기립근, 햄스트링","1. 준비: 등을 대고 누워 다리를 펴거나 90도로 굽힙니다. 팔은 머리 위로 뻗습니다. 2. 롤 업 & V자: 숨을 내쉬며 복부의 힘으로 상체를 C 커브로 말아 올라옴과 동시에 다리를 45도 V자 모양으로 폅니다. 3. 홀드: 숨을 들이마시며 자세를 3~5초 유지합니다. 4. 롤 다운: 숨을 내쉬며 복부의 통제력으로 척추를 하나씩 바닥에 내려놓습니다. 5. 3단계: 1단계 (무릎 굽혀 시작), 2단계 (다리 펴고 시작), 3단계 (다리를 내렸다가 다시 올리며 롤 업)로 난이도를 조절합니다. 6. 주의: 허리가 꺾이거나 등이 둥글게 말리지 않도록 복부의 깊은 수축을 유지합니다.",3–6,"Inhale roll up, Exhale hold",Return to Life p.74
24,힙 서클,Hip Circles,"복직근, 중둔근, 내전근",요방형근,1. 준비: **티저 자세(Teaser)**를 유지합니다. 상체와 다리를 V자로 든 상태에서 균형을 잡습니다. 2. 원 그리기: 복부의 통제력을 사용하여 다리 전체를 한쪽 방향으로 원을 그리며 움직입니다. 3. 방향 교대: 3번 반복 후 반대 방향으로 원을 그립니다. 4. 집중: 몸통의 V자 자세가 무너지지 않도록 복부와 장요근의 강한 수축을 유지하며 골반 주변 근육을 강화합니다.,3+3,Inhale circle,Jay Grimes Advanced Mat
25,스위밍,Swimming,"요추 기립근, 대둔근, 후면 체인",고관절 굴곡근,"1. 준비: 엎드려 누워 이마는 바닥에 대고, 팔과 다리를 길게 폅니다. 복부를 당겨 허리가 뜨지 않도록 합니다. 2. 들어올리기: 숨을 들이마시며 반대쪽 팔과 다리를 동시에 (예: 오른팔-왼다리) 바닥에서 들어 올려 몸통과 일직선을 만듭니다. 3. 교차 스위밍: 상체와 하체를 동시에 들어 올린 상태에서 반대 팔과 다리를 빠르게 교차하며 수영하듯이 움직입니다. 4. 호흡: 4번 들이마시고 (Inhale 4), 4번 내쉬는 (Exhale 4) 호흡 패턴을 유지하며 연속적으로 움직입니다. 5. 집중: 요추 기립근과 둔근의 힘으로 몸통의 안정성을 유지하며 팔다리를 길게 뻗는 것에 집중합니다.",20–30 breaths,"Inhale 4, Exhale 4",Return to Life p.78
26,레그 풀 프론트,Leg Pull Front,"복직근, 전거근, 견갑 안정성",햄스트링,"1. 준비: 엎드려 플랭크 자세를 취합니다. 손은 어깨 바로 아래에 두고, 견갑골 안정성을 유지합니다. 2. 다리 들기: 숨을 들이마시며 복부와 둔근을 사용하여 한쪽 다리를 천장으로 들어 올립니다. 이때 골반이 흔들리거나 한쪽으로 기울어지지 않도록 합니다. 3. 내리기: 숨을 내쉬며 다리를 내립니다. 4. 교대: 다음 번에는 반대쪽 다리로 반복합니다. 5. 집중: **몸통 전체가 하나의 판(Plank)**처럼 움직이지 않도록 전거근과 복직근을 강하게 수축합니다.",5+5,"Inhale lift, Exhale down",Romana’s Leg Pull
27,레그 풀 백,Leg Pull Back,"대둔근, 햄스트링, 코어",고관절 굴곡근,"1. 준비: 리버스 플랭크(Reverse Plank) 자세를 취합니다. 손은 어깨 뒤쪽 바닥을 짚고, 엉덩이를 들어 올려 어깨-엉덩이-발이 일직선이 되도록 합니다. 2. 다리 들기: 숨을 들이마시며 둔근과 햄스트링을 사용하여 한쪽 다리를 천장으로 들어 올립니다. 3. 내리기: 숨을 내쉬며 다리를 내립니다. 4. 주의: 엉덩이가 처지거나 손목에 과도한 하중이 실리지 않도록 둔근을 강하게 조입니다.",5+5,Inhale lift,Joseph Pilates Original
28,닐링 사이드 킥,Kneeling Side Kick,"중둔근, 복사근, 코어",고관절 내전근,"1. 준비: 무릎 꿇고 옆으로 앉아, 아래쪽 손은 바닥에 짚고 위쪽 손은 머리 뒤에 둡니다. 위쪽 다리는 옆으로 폅니다. 2. 앞뒤 스윙: 사이드 킥과 동일하게 다리를 골반 높이로 유지하며 앞으로 킥(Inhale), 뒤로 킥(Exhale) 하는 동작을 반복합니다. 3. 집중: **몸통의 측면 근육(복사근)**을 사용하여 몸통을 수직으로 안정화시키고 중둔근의 힘으로 다리를 움직입니다.",8+8,"Inhale forward, Exhale back",Vintage Pilates
29,사이드 벤드,Side Bend,"복사근, 요방형근, 중둔근",측면 광배근,1. 준비: 옆으로 플랭크 자세를 취합니다. 아래쪽 손은 바닥을 짚고 발은 모아 옆으로 둡니다. 위쪽 팔은 머리 위로 뻗습니다. 2. 들어올리기: 숨을 들이마시며 복사근과 중둔근의 힘으로 골반을 천장으로 높이 들어 올려 몸통을 아치(Arch) 모양으로 만듭니다. 3. 내리기: 숨을 내쉬며 복부의 통제력으로 골반을 바닥 가까이 내립니다. 4. 주의: 몸통이 앞뒤로 기울어지지 않도록 전거근과 복사근을 사용하여 몸통의 안정성을 유지합니다.,3+3,"Inhale up, Exhale down",Return to Life p.84
30,부메랑,Boomerang,"복직근, 복사근, 코어-회전",요추 기립근,"1. 준비: 바닥에 곧게 앉아 다리를 X자로 교차하고 손은 발목을 잡습니다. (준비 자세는 티저와 비슷함) 2. 롤 오버: 숨을 내쉬며 복부의 힘으로 뒤로 굴러가 롤 오버 자세를 취합니다. 3. 다리 교차 & 티저: 롤 오버 상태에서 다리를 풀고 빠르게 교차시킨 후, 롤 업으로 올라와 티저 자세를 만듭니다. 4. 전방 굴곡 & 마무리: 티저 자세에서 C 커브로 앞으로 숙여 발을 바닥에 내립니다. 다시 다리를 풀고 교차하며 원래의 교차 자세로 돌아옵니다. 5. 집중: 복부의 강력한 통제력과 유연한 척추를 동시에 요구하는 고급 동작입니다.",3+3,Exhale switch,Romana’s Advanced
31,씰,Seal,"복직근, 척추 기립근 (마사지)",요추 기립근,"1. 준비: 무릎을 구부려 앉아 손을 발목 안쪽으로 넣어 발의 바깥쪽을 잡습니다. 발바닥을 서로 마주 보게 합니다. C 커브를 유지합니다. 2. 클랩 & 굴러가기: **발뒤꿈치로 짝짝짝 2번 박수(Clap)**를 친 후, 숨을 들이마시며 등 뒤로 굴러가 견갑골까지 닿게 합니다. 3. 클랩 & 올라오기: 굴러간 상태에서 다시 짝짝짝 2번 박수를 친 후, 숨을 내쉬며 복부의 힘으로 다시 앞으로 굴러와 발을 바닥에 대지 않고 균형을 잡습니다. 4. 주의: 목에 힘을 빼고 척추를 마사지하듯 연속적인 움직임을 유지합니다.",6–8,"Inhale back, Exhale forward + clap",Jay Grimes ‘Like a puppy’
32,크랩,Crab,"복직근, 대둔근, 척추 기립근",요추 기립근 (마사지),1. 준비: 다리를 X자로 교차한 채 손으로 발목을 잡습니다. 턱을 가슴 쪽으로 당겨 C 커브를 유지합니다. 2. 뒤로 굴러가기: 숨을 내쉬며 머리가 바닥에 닿도록 뒤로 굴러갑니다. 3. 앞으로 굴러오기: 숨을 내쉬며 복부의 힘으로 다시 앞으로 굴러와 균형을 잡습니다. 4. 다리 교차: 다음 번 굴러가기 전 다리의 교차 순서를 바꿉니다. 5. 집중: 척추의 부드러운 분절과 복부의 통제력을 사용하여 굴러가는 동작을 수행합니다.,6,Exhale roll,Joseph Pilates 1945
33,로킹,Rocking,"요추 기립근, 대둔근, 흉곽",복직근,"1. 준비: 엎드려 누워 양손으로 발목을 잡습니다. 복부를 당겨 허리가 뜨지 않도록 합니다. 2. 들어올리기: 숨을 들이마시며 등 근육과 둔근의 힘으로 상체와 다리를 동시에 들어 올려 활 모양(Arch)을 만듭니다. 3. 로킹: 숨을 내쉬며 복부의 통제력으로 **앞뒤로 로킹(Rocking)**합니다. 4. 집중: 복부의 깊은 수축을 유지하여 허리가 아닌 척추 전체가 움직이도록 하고, 가슴을 활짝 여는 것에 집중합니다.",6–8,"Inhale open, Exhale rock",Return to Life p.90
34,컨트롤 밸런스,Control Balance,"복직근, 대둔근, 코어",요추 기립근,"1. 준비: 등을 대고 누워 다리를 머리 위로 넘겨 골반을 들어 올립니다 (Shoulder Stand). 한 손으로 뻗은 다리의 발목을 잡고, 반대쪽 손은 바닥에 둡니다. 2. 균형 잡기: 다른 쪽 다리를 바닥 쪽으로 길게 뻗습니다. (시저스와 유사) 3. 스위치: 숨을 들이마시거나 내쉬며 잡고 있는 발을 놓는 동시에 반대쪽 손으로 반대쪽 다리의 발목을 잡고 다리를 교차합니다. 4. 집중: 강력한 코어 통제력과 전신 근력을 요구하는 고급 최종 동작입니다. 다리를 최대한 길게 뻗어 몸통과 다리가 일직선이 되도록 합니다.",3+3,Inhale switch,Jay Grimes ‘The top of the mountain’
