Order,Exercise_Name_KR,Exercise_Name_EN,Main_Strengthen_Muscles (주요 강화 근육),Main_Stretch_Muscles (주요 스트레칭 근육),How_to_Perform_Step_by_Step (상세 동작 설명),Spring_Traditional,Reps,Breathing_Pattern,References
14,아랫배 당기기,Pulling Straps,"광배근, 후면 삼각근, 하부 승모근","대흉근, 전면 삼각근","1. 준비: 체어 앞에 엎드려 누워, 양손으로 핸들을 잡습니다. 2. 당기기: 숨을 내쉬며 팔을 몸통 옆으로 당겨 광배근과 하부 승모근을 사용합니다. 3. 돌아오기: 숨을 들이마시며 천천히 저항하며 팔을 올립니다. 4. 집중: 팔을 당길 때 복부를 바닥에서 들어 올려 허리가 꺾이지 않도록 주의합니다.",1 top each side,8,"Exhale pull, Inhale return","Romana Kryzanowska 1980"
15,스완,Swan,"척주기립근, 대둔근, 햄스트링","복직근, 장요근","1. 준비: 체어 위에 엎드려 누워, 양손은 핸들을 잡고 팔을 앞으로 나란히 폕니다. 2. 신전: 숨을 들이마시며 척추 기립근을 사용하여 상체를 들어 올립니다. 3. 돌아오기: 숨을 내쉬며 복부의 통제력으로 천천히 돌아옵니다. 4. 주의: 요추에서 과도한 신전이 일어나지 않도록 복부를 당깁니다.",1 top,6,"Inhale lift, Exhale lower","Return to Life p.80"
16,암 서클,Arm Circles,"삼두근, 광배근, 후면 삼각근","대흉근, 전면 삼각근","1. 준비: 체어 위에 앉아, 양손으로 핸들을 잡고 팔을 옆으로 뻗습니다. 2. 서클: 숨을 내쉬며 팔을 몸통 앞으로 모으고, 숨을 들이마시며 팔을 벌려 원을 그립니다. 3. 방향: 3번은 바깥에서 안으로, 3번은 안에서 바깥으로 원을 그립니다. 4. 집중: 팔의 움직임이 **견갑골 안정** 범위 내에서 일어나도록 합니다.",1 top each side,3+3,"Exhale down, Inhale up","Return to Life p.70"
17,숄더 브릿지,Shoulder Bridge,"대둔근, 햄스트링, 척주기립근","고관절 굴곡근","1. 준비: 체어 뒤에 등을 대고 누워, 발바닥을 페달 위에 올립니다. 양손은 체어의 핸들을 잡습니다. 2. 롤 업: 숨을 내쉬며 꼬리뼈부터 척추를 하나씩 들어 올려 엉덩이를 천장으로 듭니다. 3. 밀어내기: 엉덩이를 든 상태에서 다리를 쭉 펴서 페달을 아래로 누릅니다. 4. 돌아오기: 숨을 들이마시며 무릎을 구부려 돌아온 후, 숨을 내쉬며 척추를 하나씩 내려놓습니다. 5. 주의: 엉덩이가 떨어지지 않도록 둔근을 강하게 수축합니다.",1 bottom,6,"Exhale lift, Inhale push, Exhale return","Return to Life p.78"
18,체어 롤 업,Chair Roll Up,"복직근, 복사근, 장요근","요추 기립근, 햄스트링","1. 준비: 체어 뒤에 등을 대고 누워, 팔은 머리 위로 뻗어 핸들을 잡습니다. 다리는 앞으로 쭉 폅니다. 2. 롤 업: 숨을 내쉬며 복부의 힘으로 척추를 C 커브 모양으로 말아 올라옵니다. 3. 전방 굴곡: 몸이 수직이 되면 복부의 긴장을 풀지 않고 핸들을 앞으로 밀어 햄스트링을 스트레칭합니다. 4. 롤 다운: 숨을 들이마시며 척추를 하나씩 말아 천천히 내려갑니다.",1 top,6,"Exhale roll up, Inhale roll down","Romana Kryzanowska Mat 1998"
19,푸시 다운 시팅,Push Down Sitting,"삼두근, 광배근",전면 삼각근,"1. 준비: 체어 위에 앉아, 양손으로 핸들을 잡고 팔을 앞으로 나란히 폅니다. 2. 누르기: 숨을 내쉬며 삼두근과 광배근을 사용하여 팔을 아래로 곧게 누릅니다. 3. 돌아오기: 숨을 들이마시며 천천히 저항하며 팔을 원래 위치로 돌아옵니다. 4. 집중: 삼두근의 수축에 집중합니다.",1 top each side,8,"Exhale down, Inhale up","Romana Arm Springs"
20,푸시 업 스탠딩,Push Up Standing,"삼두근, 전거근, 복직근",대흉근,"1. 준비: 체어 앞에 서서, 양손을 페달 위에 댑니다. 발은 뒤로 빼서 플랭크 자세를 취합니다. 2. 푸시 업: 숨을 들이마시며 팔꿈치를 구부려 상체를 내립니다. 3. 푸시: 숨을 내쉬며 삼두근과 전거근의 힘으로 팔을 쭉 펴서 올라옵니다. 4. 주의: 몸통이 흔들리지 않도록 코어를 고정합니다.",1 top,8,"Inhale down, Exhale up","Joseph Pilates Original"
21,체어 티저,Chair Teaser,"복직근, 고관절 굴곡근","햄스트링","1. 준비: 체어 앞에 서서, 한쪽 발을 페달 위에 올리고 균형을 잡습니다. 2. 티저: 숨을 내쉬며 복부의 힘으로 페달 위의 다리를 천장으로 곧게 뻗어 올립니다. 3. 돌아오기: 숨을 들이마시며 천천히 돌아옵니다. 4. 주의: 허리가 꺾이지 않도록 복부를 강하게 수축합니다.",1 top,4+4,"Exhale lift, Inhale return","Return to Life p.37"
22,체어 롤 다운 스탠딩,Chair Roll Down Standing,"복직근, 복사근","척주기립근, 햄스트링","1. 준비: 체어 앞에 서서, 양손으로 핸들을 잡습니다. 2. 롤 다운: 숨을 내쉬며 복부의 힘으로 척추를 C 커브 모양으로 말아 앞으로 숙입니다. 3. 롤 업: 숨을 들이마시며 복부의 통제력으로 다시 올라옵니다. 4. 주의: 척추의 분절에 집중하며, 허리가 꺾이지 않도록 합니다.",1 top,6,"Exhale roll down, Inhale roll up","Return to Life p.92"
23,체어 사이드 밴드,Chair Side Bend,"복사근, 중둔근","광배근, 요방형근","1. 준비: 체어 위에 옆으로 앉아, 한 손은 핸들을 잡고, 반대쪽 팔은 머리 뒤에 댑니다. 2. 측면 굴곡: 숨을 들이마시며 상체를 옆으로 기울입니다. 3. 늘리기: 숨을 내쉬며 위쪽 팔을 머리 위로 길게 뻗어 측면을 늘립니다. 4. 돌아오기: 숨을 들이마시며 복사근의 힘으로 돌아옵니다. 5. 주의: 골반을 고정하고 몸통이 앞뒤로 기울지 않도록 합니다.",1 top,4+4,"Inhale bend, Exhale reach","Return to Life p.75"
24,체어 스파인 트위스트,Chair Spine Twist,"복사근, 외복사근","요방형근","1. 준비: 체어 위에 앉아, 양손을 머리 뒤에 댑니다. 2. 트위스트: 숨을 내쉬며 척추를 길게 늘린 상태에서 몸통을 한쪽 방향으로 회전시킵니다. 3. 돌아오기: 숨을 들이마시며 중앙으로 돌아옵니다. 4. 주의: 골반이 움직이지 않도록 고정합니다.",1 top,6+6,"Exhale twist, Inhale center","Return to Life p.24"
25,체어 롱 백 스트레치,Chair Long Back Stretch,"복직근, 햄스트링, 종아리 스트레칭","척주기립근, 고관절 굴곡근","1. 준비: 체어 앞에 서서, 양손은 핸들을 잡고 발은 페달 위에 올립니다. 무릎을 곧게 폅니다. 2. 밀어내기: 숨을 내쉬며 복부의 힘으로 페달을 아래로 강하게 누릅니다. 3. 돌아오기: 숨을 들이마시며 복부의 힘으로 천천히 끌어당겨 돌아옵니다. 4. 주의: 척추를 둥글게(C 커브) 유지하며 복부의 수축에 집중합니다.",1 top,8,"Exhale push, Inhale return","Joseph Pilates Original"
26,체어 니 스트레치,Chair Knee Stretches,"복직근, 전거근, 대퇴사두근, 코어","요추 기립근","1. 준비: 무릎을 꿇고 체어 위에 앉아, 발끝은 페달 위에 댑니다. 양손은 핸들을 잡습니다. 2. 둥근 등: 척추를 둥글게(C 커브) 말고, 턱을 가슴 쪽으로 당깁니다. 3. 밀어내기: 숨을 내쉬며 대퇴사두근의 힘으로 페달을 아래로 누릅니다. 4. 돌아오기: 숨을 들이마시며 복부의 힘으로 끌어당겨 돌아옵니다. 5. 주의: 몸통의 **C 커브**를 유지하며 복부의 수축에 집중합니다.",1 top,8,"Exhale push, Inhale return","Romana Kryzanowska 1980"
27,체어 롱 스파인,Chair Long Spine,"복직근, 대둔근, 햄스트링",척주기립근,"1. 준비: 체어 뒤에 등을 대고 누워, 발꿈치를 페달 위에 올립니다. 양손은 체어의 핸들을 잡습니다. 2. 롤 오버: 숨을 내쉬며 복부의 힘으로 엉덩이를 들어 올려 다리를 천장으로 뻗습니다. 3. 분절 & 내리기: 숨을 들이마시며 척추를 하나씩 분절하여 천천히 내려옵니다. 4. 주의: 목에 힘이 들어가지 않도록 주의하고, 척추의 부드러운 분절에 집중합니다.",1 top,6,"Exhale roll over, Inhale roll down","Romana Kryzanowska 1998"
28,체어 밸런스 컨트롤,Chair Balance Control,"복직근, 대둔근, 코어",요추 기립근,"1. 준비: 체어 위에 앉아, 페달을 아래로 누른 상태에서 손을 뒤로 뻗어 바닥을 짚습니다. 2. 밸런스: 숨을 내쉬며 한쪽 다리를 천장으로 곧게 뻗어 균형을 잡습니다. 3. 주의: **흔들리지 않는 몸통**을 유지하며 코어의 안정화에 집중합니다.",1 top,4+4,"Exhale balance","Joseph Pilates Original"
