Order,Exercise_Name_KR,Exercise_Name_EN,Main_Strengthen_Muscles (주요 강화 근육),Main_Stretch_Muscles (주요 스트레칭 근육),How_to_Perform_Step_by_Step (상세 동작 설명),Spring_Traditional,Reps,Breathing_Pattern,References
11,푸시쓰루 바 롤 다운,Push Through Bar Roll Down,"복직근, 복사근","척주기립근, 햄스트링","1. 준비: 타워를 바라보고 앉아, 양손으로 푸시쓰루 바를 잡습니다. 2. 롤 다운: 숨을 내쉬며 복부의 힘으로 척추를 C 커브 모양으로 말아 뒤로 기울입니다. 3. 롤 업: 숨을 들이마시며 복부의 통제력으로 다시 올라옵니다. 4. 주의: 척추의 분절에 집중하며, 허리가 꺾이지 않도록 합니다.",1 Red,6,"Exhale roll down, Inhale roll up","Return to Life p.72"
12,푸시쓰루 바 스파인 스트레치,Push Through Bar Spine Stretch,"척주기립근, 복횡근","햄스트링, 요추 기립근","1. 준비: 푸시쓰루 바를 바라보고 앉아, 양손으로 바를 잡습니다. 다리는 앞으로 쭉 폅니다. 2. 전방 굴곡: 숨을 내쉬며 복부의 통제력으로 척추를 C 커브 모양으로 말아 앞으로 숙입니다. 3. 돌아오기: 숨을 들이마시며 척추를 하나씩 쌓아 올립니다. 4. 집중: 햄스트링 스트레칭과 복부의 활성화에 집중합니다.",1 Red,6,"Exhale forward, Inhale stack up","Return to Life p.20"
13,푸시쓰루 바 머메이드,Push Through Bar Mermaid,"복사근, 광배근","내전근, 요방형근","1. 준비: 푸시쓰루 바를 바라보고 옆으로 앉아(Mermaid 자세), 바깥쪽 손으로 바를 잡습니다. 2. 측면 굴곡: 숨을 들이마시며 상체를 바깥쪽으로 옆으로 굽힙니다. 3. 아크 & 푸시: 숨을 내쉬며 바깥쪽 팔을 머리 위로 뻗어 바를 아래로 눌러 측면을 늘립니다. 4. 돌아오기: 숨을 들이마시며 복사근의 힘으로 몸통을 세워 돌아옵니다. 5. 집중: 측면 복부 근육의 수축과 스트레칭에 집중합니다.",1 Red,5+5,"Inhale bend, Exhale reach","Jay Grimes 2023"
14,행잉 서클,Hanging Circles,"복직근, 복사근, 척주기립근","고관절 굴곡근","1. 준비: 푸시쓰루 바에 매달려 다리를 곧게 폅니다. 2. 서클: 숨을 내쉬며 다리로 원을 그립니다. 3. 방향: 3번은 한 방향, 3번은 반대 방향으로 원을 그립니다. 4. 주의: **복부의 통제력**을 사용하여 몸통이 흔들리지 않도록 합니다.",2 Yellow,3+3,"Exhale circle","Joseph Pilates Hanging"
15,행잉 바이시클,Hanging Bicycle,"복직근, 대둔근, 햄스트링","장요근","1. 준비: 푸시쓰루 바에 매달려 다리를 곧게 폅니다. 2. 사이클: 숨을 내쉬며 한쪽 다리를 구부리고, 숨을 들이마시며 펴는 동작을 **자전거 타듯이** 빠르게 반복합니다. 3. 주의: 복부의 통제력을 사용하여 몸통이 흔들리지 않도록 합니다.",2 Yellow,6+6,"Exhale bend, Inhale extend","Joseph Pilates Hanging"
16,암 스프링 서클,Arm Spring Circles,"삼두근, 광배근, 후면 삼각근","대흉근, 전면 삼각근","1. 준비: 등을 대고 누워 암 스프링 핸들을 잡고 팔을 천장으로 듭니다. 2. 서클: 숨을 내쉬며 팔을 몸통 옆으로 내리고, 숨을 들이마시며 팔을 벌려 원을 그리며 올립니다. 3. 방향: 3번은 바깥에서 안으로, 3번은 안에서 바깥으로 원을 그립니다. 4. 집중: 팔의 움직임이 **견갑골 안정** 범위 내에서 일어나도록 합니다.",1 Yellow each,3+3,"Exhale down, Inhale up","Return to Life p.70"
17,암 스프링 펀치,Arm Spring Punch,"삼두근, 전거근, 복직근","대흉근","1. 준비: 등을 대고 누워 암 스프링 핸들을 잡고 팔을 천장으로 듭니다. 2. 펀치: 숨을 내쉬며 한쪽 팔을 천장으로 곧게 뻗어 **견갑골을 전인**시킵니다. 3. 돌아오기: 숨을 들이마시며 견갑골을 안정시키며 돌아옵니다. 4. 주의: 팔을 뻗을 때 몸통이 기울어지지 않도록 복부를 고정합니다.",1 Yellow each,8+8,"Exhale punch, Inhale return","Romana Arm Springs"
18,암 스프링 트라이셉,Arm Spring Triceps,"삼두근, 광배근","전면 삼각근","1. 준비: 등을 대고 누워 암 스프링 핸들을 잡고 팔을 천장으로 듭니다. 2. 굽히기: 숨을 들이마시며 팔꿈치를 구부려 손이 귀 옆에 오도록 합니다. 3. 펴기: 숨을 내쉬며 삼두근의 힘으로 팔을 곧게 폅니다. 4. 집중: **팔꿈치가 벌어지지 않도록** 고정하고 삼두근의 수축에 집중합니다.",1 Yellow each,8,"Inhale bend, Exhale extend","Return to Life p.71"
19,타워 롤 다운,Tower Roll Down,"복직근, 복사근","척주기립근, 햄스트링","1. 준비: 타워를 바라보고 앉아, 양손으로 롤다운 바를 잡습니다. 2. 롤 다운: 숨을 내쉬며 복부의 힘으로 척추를 C 커브 모양으로 말아 뒤로 기울입니다. 3. 롤 업: 숨을 들이마시며 복부의 통제력으로 다시 올라옵니다. 4. 주의: 척추의 분절에 집중하며, 허리가 꺾이지 않도록 합니다.",2 Yellow,6,"Exhale roll down, Inhale roll up","Return to Life p.72"
20,스프레드 이글,Spread Eagle,"복직근, 대퇴사두근, 고관절 굴곡근","척주기립근, 햄스트링","1. 준비: 타워를 바라보고 서서, 푸시쓰루 바를 아래에서 잡습니다. 다리는 옆으로 벌립니다. 2. 밀어내기: 숨을 내쉬며 복부와 둔근의 힘으로 몸통을 뒤로 기울여 바를 밀어냅니다. 3. 돌아오기: 숨을 들이마시며 복부의 통제력으로 돌아옵니다. 4. 집중: **몸통 전체의 신전**과 복부의 강한 통제력에 집중합니다.",2 Yellow,4,"Exhale out, Inhale return","Joseph Pilates Original"
21,레그 스프링 비트,Leg Spring Beats,"내전근, 대둔근","장요근","1. 준비: 등을 대고 누워 발꿈치에 레그 스프링을 걸고, 다리를 45도 각도로 듭니다. 2. 비트: 숨을 내쉬며 다리를 서로 빠르게 부딪치듯이 **짝짝짝** 움직입니다. 3. 주의: 움직임이 고관절에서만 일어나도록 하고, 허리가 뜨지 않도록 복부를 당깁니다.",1 Yellow each,20 beats,"Exhale fast beat","Romana Kryzanowska 1980"
22,레그 스프링 롱 스파인,Leg Spring Long Spine,"복직근, 대둔근, 햄스트링","척주기립근","1. 준비: 누워서 발꿈치에 레그 스프링을 걸고, 무릎을 가슴 쪽으로 당겨 **테이블 탑** 자세를 취합니다. 2. 롤 오버: 숨을 내쉬며 복부의 힘으로 엉덩이를 들어 올려 다리를 천장으로 뻗습니다. 3. 분절 & 내리기: 숨을 들이마시며 척추를 하나하나 분절하여 내려옵니다. 4. 주의: 목에 힘이 들어가지 않도록 주의하고, 척추의 부드러운 분절에 집중합니다.",1 Yellow each,6,"Exhale roll over, Inhale roll down","Romana Kryzanowska 1998"
23,푸시쓰루 바 레그 서클,Push Through Bar Leg Circles,"복사근, 중둔근, 고관절 굴곡근","내전근","1. 준비: 타워를 바라보고 앉아, 발바닥을 푸시쓰루 바에 댑니다. 2. 서클: 숨을 내쉬며 다리로 원을 그립니다. 3. 방향: 3번은 한 방향, 3번은 반대 방향으로 원을 그립니다. 4. 주의: **바의 저항**을 통제하며 다리의 움직임이 고관절에서만 일어나도록 합니다.",1 Red,3+3,"Exhale circle","Joseph Pilates Original"
24,푸시쓰루 바 프로그,Push Through Bar Frog,"내전근, 대둔근, 복직근","고관절 굴곡근","1. 준비: 푸시쓰루 바를 바라보고 앉아, 발꿈치를 바에 대고 다이아몬드 모양을 만듭니다. 2. 뻗기: 숨을 내쉬며 내전근과 둔근의 힘으로 다리를 쭉 뻗어냅니다. 3. 돌아오기: 숨을 들이마시며 천천히 무릎을 구부려 돌아옵니다. 4. 주의: 다리를 뻗을 때 몸통이 흔들리지 않도록 복부를 당깁니다.",1 Red,8,"Exhale extend, Inhale return","Joseph Pilates Original"
25,암 스프링 인사이드,Arm Springs Inside,"대흉근, 전면 삼각근, 이두근","후면 삼각근, 광배근","1. 준비: 등을 대고 누워 암 스프링 핸들을 잡고 팔을 몸통 옆으로 내립니다. 2. 올리기: 숨을 내쉬며 팔을 가슴 위로 모아 올립니다. 3. 내리기: 숨을 들이마시며 천천히 저항하며 팔을 내립니다. 4. 집중: **대흉근의 수축**에 집중합니다.",1 Yellow each,8,"Exhale up, Inhale down","Romana Arm Springs"
26,암 스프링 아웃사이드,Arm Springs Outside,"후면 삼각근, 광배근, 하부 승모근","대흉근, 전면 삼각근","1. 준비: 등을 대고 누워 암 스프링 핸들을 잡고 팔을 천장으로 듭니다. 2. 벌리기: 숨을 내쉬며 팔을 옆으로 벌려 바닥에 닿기 직전까지 내립니다. 3. 모으기: 숨을 들이마시며 광배근의 힘으로 팔을 모아 올립니다. 4. 집중: **견갑골의 하강**에 집중합니다.",1 Yellow each,8,"Exhale open, Inhale close","Return to Life p.70"
27,하프 행잉,Half Hanging,"복직근, 복사근, 전거근","척주기립근","1. 준비: 푸시쓰루 바에 매달려 무릎을 구부립니다. 2. 당기기: 숨을 내쉬며 복부의 힘으로 무릎을 가슴 쪽으로 끌어당깁니다. 3. 돌아오기: 숨을 들이마시며 천천히 무릎을 폅니다. 4. 주의: 팔과 어깨에 힘이 들어가지 않도록 복부의 활성화에 집중합니다.",2 Yellow,6,"Exhale up, Inhale down","Joseph Pilates Hanging"
28,행잉 밸런스,Hanging Balance,"복직근, 전거근, 코어","요추 기립근","1. 준비: 푸시쓰루 바에 매달려 다리를 천장으로 곧게 폅니다. 2. 밸런스: 숨을 내쉬며 복부의 힘으로 몸통을 살짝 뒤로 기울여 균형을 잡습니다. 3. 주의: **흔들리지 않는 몸통**을 유지하며 코어의 안정화에 집중합니다.",2 Yellow,4,"Exhale balance","Joseph Pilates Hanging"
29,트위스트 위드 암 스프링,Twist with Arm Springs,"복사근, 외복사근","요방형근","1. 준비: 무릎을 꿇고 앉아, 암 스프링 핸들을 잡고 팔을 옆으로 뻗습니다. 2. 회전: 숨을 내쉬며 복사근을 사용하여 몸통을 한쪽 방향으로 회전시킵니다. 3. 돌아오기: 숨을 들이마시며 중앙으로 돌아옵니다. 4. 주의: 골반이 움직이지 않도록 고정합니다.",1 Yellow each,6+6,"Exhale twist, Inhale center","Romana's Twist"
30,체스트 익스팬션 위드 롤다운 바,Chest Expansion with Roll Down Bar,"광배근, 후면 삼각근, 하부 승모근","대흉근, 전면 삼각근","1. 준비: 타워를 바라보고 무릎을 꿇고 앉아, 롤다운 바를 잡고 팔을 앞으로 나란히 폅니다. 2. 당기기: 숨을 내쉬며 팔을 뒤로 쭉 뻗어 광배근과 하부 승모근을 사용하여 바를 당깁니다. 3. 유지 & 회전: 당긴 상태를 유지하며 고개를 한쪽으로 돌립니다. 4. 돌아오기: 숨을 들이마시며 고개를 중앙으로 돌린 후, 천천히 팔을 풀며 돌아옵니다. 5. 주의: 팔을 당길 때 상체가 앞으로 기울어지지 않도록 코어를 고정합니다.",2 Yellow,6,"Exhale pull, Inhale return","Return to Life p.70"
31,행잉 바이시클 리버스,Hanging Bicycle Reverse,"복직근, 대둔근, 햄스트링","장요근","1. 준비: 푸시쓰루 바에 매달려 다리를 곧게 폅니다. 2. 사이클 리버스: 숨을 내쉬며 한쪽 다리를 뒤로 뻗고, 숨을 들이마시며 앞으로 가져오는 동작을 빠르게 반복합니다. 3. 주의: 복부의 통제력을 사용하여 몸통이 흔들리지 않도록 합니다.",2 Yellow,6+6,"Exhale extend, Inhale return","Joseph Pilates Hanging"
32,레그 스프링 롱 스파인 리버스,Leg Spring Long Spine Reverse,"복직근, 대둔근, 햄스트링","척주기립근","1. 준비: 롱 스파인과 동일하게 시작합니다. 2. 롤 오버: 숨을 내쉬며 엉덩이를 들어 올려 다리를 머리 위로 보냅니다. 3. 분절 & 내리기: 숨을 들이마시며 척추를 하나씩 분절하여 내려오면서 다리를 45도 V자로 내립니다. 4. 주의: 내려올 때 허리가 뜨지 않도록 복부의 통제력을 유지합니다.",1 Yellow each,6,"Exhale roll over, Inhale roll down","Romana Kryzanowska 1998"
33,스파인 트위스트 위드 암 스프링,Spine Twist with Arm Springs,"복사근, 외복사근","요방형근","1. 준비: 무릎을 꿇고 앉아, 암 스프링 핸들을 잡고 팔을 옆으로 뻗습니다. 2. 트위스트: 숨을 내쉬며 척추를 길게 늘린 상태에서 몸통을 한쪽 방향으로 회전시킵니다. 3. 돌아오기: 숨을 들이마시며 중앙으로 돌아옵니다. 4. 주의: 골반이 움직이지 않도록 고정합니다.",1 Yellow each,6+6,"Exhale twist, Inhale center","Return to Life p.24"
34,레그 스프링 플라이,Leg Spring Fly,"중둔근, 내전근","TFL","1. 준비: 등을 대고 누워 한쪽 다리에 레그 스프링을 걸고 다리를 옆으로 벌립니다. 2. 벌리기: 숨을 들이마시며 다리를 옆으로 최대한 벌립니다. 3. 모으기: 숨을 내쉬며 내전근의 힘으로 다리를 모아 중앙으로 돌아옵니다. 4. 주의: 골반이 움직이지 않도록 코어를 강하게 잡습니다.",1 Yellow each,8+8,"Inhale open, Exhale close","Romana Leg Springs"
35,숄더 브릿지 위드 롤다운 바,Shoulder Bridge with Roll Down Bar,"대둔근, 햄스트링, 척주기립근","고관절 굴곡근","1. 준비: 등을 대고 누워 발바닥을 롤다운 바에 대고 무릎을 세웁니다. 2. 롤 업: 숨을 내쉬며 꼬리뼈부터 척추를 하나씩 들어 올려 엉덩이를 천장으로 듭니다. 3. 밀어내기: 엉덩이를 든 상태에서 다리를 쭉 펴서 바를 밀어냅니다. 4. 돌아오기: 숨을 들이마시며 무릎을 구부려 돌아온 후, 숨을 내쉬며 척추를 하나씩 내려놓습니다. 5. 주의: 엉덩이가 떨어지지 않도록 둔근을 강하게 수축합니다.",2 Yellow,6,"Exhale lift, Inhale push, Exhale return","Return to Life p.78"
36,레그 스프링 싱글 레그 펌핑,Leg Spring Single Leg Pumping,"대둔근, 햄스트링, 복직근","고관절 굴곡근","1. 준비: 등을 대고 누워 한쪽 다리에 레그 스프링을 걸고, 무릎을 구부려 **테이블 탑** 자세를 취합니다. 2. 펌핑: 숨을 내쉬며 다리를 앞으로 45도 각도로 쭉 뻗어 빠르게 펌핑합니다. 3. 주의: 다리를 뻗을 때 허리가 뜨지 않도록 복부를 당깁니다.",1 Yellow each,8+8,"Exhale pump, Inhale return","Romana Leg Springs"
37,레그 스프링 코르크 스크류,Leg Spring Corkscrew,"복사근, 복직근, 햄스트링","척주기립근","1. 준비: 누워서 발꿈치에 레그 스프링을 걸고, 다리를 천장으로 쭉 뻗습니다. 2. 서클: 숨을 내쉬며 다리 전체로 작은 원을 그립니다. 3. 롤 오버: 원을 그리면서 엉덩이를 들어 올려 다리를 머리 위로 보냅니다. 4. 분절 & 내리기: 숨을 들이마시며 척추를 하나씩 분절하여 내려오면서 반대 방향으로 원을 그립니다. 5. 주의: 복부의 통제력으로 몸통의 안정성을 유지하며, **척추의 트위스트**를 유도합니다.",1 Yellow each,3+3,"Exhale circle, Inhale roll down","Return to Life p.43"
38,레그 스프링 롱 스파인 서클,Leg Spring Long Spine Circle,"복직근, 대둔근, 햄스트링","척주기립근","1. 준비: 롱 스파인과 동일하게 시작합니다. 2. 서클: 엉덩이를 들어 올린 상태에서 다리로 작은 원을 그립니다. 3. 분절 & 내리기: 원을 그린 후, 척추를 하나씩 분절하여 내려옵니다. 4. 주의: 목에 힘이 들어가지 않도록 주의하고, **복부의 통제력**으로 몸통의 안정성을 유지합니다.",1 Yellow each,3+3,"Exhale circle, Inhale roll down","Romana Leg Springs"
39,행잉 레그 레이즈,Hanging Leg Raise,"복직근, 고관절 굴곡근","햄스트링","1. 준비: 푸시쓰루 바에 매달려 다리를 곧게 폅니다. 2. 올리기: 숨을 내쉬며 복부의 힘으로 다리를 천장으로 90도까지 들어 올립니다. 3. 내리기: 숨을 들이마시며 천천히 저항하며 다리를 내립니다. 4. 주의: 다리를 내릴 때 허리가 꺾이지 않도록 복부를 강하게 당깁니다.",2 Yellow,6,"Exhale up, Inhale down","Joseph Pilates Hanging"
40,푸시쓰루 바 햄스트링 스트레치,Push Through Bar Hamstring Stretch,"복직근, 코어","햄스트링","1. 준비: 타워를 바라보고 서서, 발바닥을 푸시쓰루 바에 대고 다리를 곧게 폅니다. 2. 당기기: 숨을 내쉬며 복부의 통제력을 유지한 채 상체를 앞으로 숙여 햄스트링을 늘립니다. 3. 유지: 호흡을 하면서 자세를 유지합니다. 4. 주의: 허리가 꺾이지 않도록 복부를 당깁니다.",1 Red,6,"Exhale stretch","Return to Life p.20"
41,푸시쓰루 바 힙 플렉서 스트레치,Push Through Bar Hip Flexor Stretch,"대둔근, 복직근","장요근","1. 준비: 타워를 바라보고 런지 자세를 취하고, 앞쪽 무릎은 90도로 구부리고 뒷발은 바닥에 댑니다. 푸시쓰루 바를 잡습니다. 2. 뒤로 기울기: 복부와 둔근을 수축하여 골반을 뒤로 기울여 장요근을 늘립니다. 3. 유지: 호흡을 하면서 자세를 유지합니다. 4. 주의: 허리가 꺾이지 않도록 둔근을 강하게 조입니다.",1 Red,4+4,"Inhale stretch","Joseph Pilates Original"
42,암 스프링 체스트 익스팬션,Arm Spring Chest Expansion,"광배근, 후면 삼각근, 하부 승모근","대흉근, 전면 삼각근","1. 준비: 등을 돌려 암 스프링 핸들을 잡고 무릎을 꿇고 서서 팔을 앞으로 나란히 폅니다. 2. 당기기: 숨을 내쉬며 팔을 뒤로 쭉 뻗어 광배근과 하부 승모근을 사용하여 스트랩을 당깁니다. 3. 유지 & 회전: 당긴 상태를 유지하며 고개를 한쪽으로 돌립니다. 4. 돌아오기: 숨을 들이마시며 고개를 중앙으로 돌린 후, 천천히 팔을 풀며 돌아옵니다.",1 Yellow each,6,"Exhale pull, Inhale return","Return to Life p.70"
43,암 스프링 다운워드,Arm Springs Downward,"삼두근, 광배근",전면 삼각근,"1. 준비: 타워를 바라보고 서서 암 스프링 핸들을 잡고 팔을 앞으로 나란히 폅니다. 2. 누르기: 숨을 내쉬며 삼두근과 광배근을 사용하여 팔을 아래로 곧게 누릅니다. 3. 돌아오기: 숨을 들이마시며 천천히 저항하며 팔을 원래 위치로 돌아옵니다. 4. 집중: 삼두근의 수축에 집중합니다.",1 Yellow each,8,"Exhale down","Romana Kryzanowska 1980"
44,암 스프링 업워드,Arm Springs Upward,"어깨 후면 근육, 하부 승모근","대흉근, 전면 삼각근","1. 준비: 타워를 바라보고 서서 암 스프링 핸들을 잡고 팔을 아래로 내립니다. 2. 들어올리기: 숨을 내쉬며 어깨 후면과 하승모근을 사용하여 팔을 천장 쪽으로 곧게 들어 올립니다. 3. 내리기: 숨을 들이마시며 천천히 저항하며 팔을 내립니다. 4. 주의: 팔을 올릴 때 어깨가 으쓱 올라가지 않도록 견갑골을 안정시킵니다.",1 Yellow each,8,"Exhale up","Vintage Pilates"
45,푸시쓰루 바 니 스트레치,Push Through Bar Knee Stretches,"복직근, 전거근, 대퇴사두근, 코어","요추 기립근","1. 준비: 무릎을 꿇고 푸시쓰루 바를 잡습니다. 2. 라운드 백: 척추를 둥글게(C 커브) 말고, 턱을 가슴 쪽으로 당깁니다. 3. 밀어내기: 숨을 내쉬며 대퇴사두근의 힘으로 캐리지를 뒤로 밀어냅니다. 4. 돌아오기: 숨을 들이마시며 복부의 힘으로 끌어당겨 돌아옵니다. 5. 주의: 몸통의 **C 커브**를 유지하며 복부의 수축에 집중합니다.",1 Red,8,"Exhale push, Inhale return","Romana Kryzanowska 1980"
46,푸시쓰루 바 밸런스,Push Through Bar Balance,"복직근, 대둔근, 햄스트링, 코어","요추 기립근","1. 준비: 푸시쓰루 바를 잡고 앉아, 다리를 천장으로 90도 듭니다. 2. 밸런스: 숨을 내쉬며 복부의 힘으로 몸통을 살짝 뒤로 기울여 균형을 잡습니다. 3. 주의: **흔들리지 않는 몸통**을 유지하며 코어의 안정화에 집중합니다.",1 Red,4,"Exhale balance","Joseph Pilates Original"
47,레그 스프링 싱글 레그 서클,Leg Spring Single Leg Circle,"복사근, 중둔근, 고관절 굴곡근","내전근, 햄스트링","1. 준비: 등을 대고 누워 한쪽 다리에 레그 스프링을 걸고 다리를 천장으로 90도 듭니다. 2. 서클: 숨을 내쉬며 다리를 벌려 원을 그리고, 숨을 들이마시며 다리를 모아 중앙으로 돌아옵니다. 3. 방향: 3번은 바깥에서 안으로, 3번은 안에서 바깥으로 원을 그립니다. 4. 주의: 동작 내내 **골반이 흔들리지 않도록** 코어를 강하게 잡습니다.",1 Yellow each,3+3,"Exhale circle, Inhale return","Return to Life p.42"
