Order,Exercise_Name_KR,Exercise_Name_EN,Main_Strengthen_Muscles (주요 강화 근육),Main_Stretch_Muscles (주요 스트레칭 근육),How_to_Perform_Step_by_Step (상세 동작 설명),Spring_Traditional,Reps,Breathing_Pattern,References
11,쏘우,Saw,"복사근, 외복사근, 햄스트링","척주기립근","1. 준비: 다리를 벌리고 앉아, 팔을 옆으로 뻗습니다. 2. 트위스트: 숨을 들이마시며 척추를 길게 늘린 상태에서 몸통을 한쪽 방향으로 회전시킵니다. 3. 전방 굴곡: 숨을 내쉬며 회전한 상태에서 반대쪽 손으로 발끝을 향해 앞으로 숙입니다. 4. 돌아오기: 숨을 들이마시며 척추를 하나씩 쌓아 올리고, 숨을 내쉬며 중앙으로 돌아옵니다. 5. 주의: 골반을 고정하고 척추의 분절과 회전에 집중합니다.",스프링 없음,6+6,"Inhale twist, Exhale forward","Return to Life p.26"
12,스완 다이브,Swan Dive,"척주기립근, 대둔근, 햄스트링","복직근, 장요근","1. 준비: 엎드려 누워, 양손을 가슴 옆 바닥에 댑니다. 2. 신전: 숨을 들이마시며 척추 기립근을 사용하여 상체를 들어 올립니다. 3. 다이빙: 숨을 내쉬며 상체를 앞으로 숙여 바닥에 닿기 직전까지 내려간 후, 팔의 힘으로 다시 상체를 들어 올리는 동작을 **흔들림**을 이용해 반복합니다. 4. 주의: 요추에서 과도한 신전이 일어나지 않도록 복부를 당깁니다.",스프링 없음,3-5,"Inhale up, Exhale down","Return to Life p.49"
13,싱글 레그 킥,Single Leg Kick,"대둔근, 햄스트링, 척주기립근","장요근","1. 준비: 엎드려 누워, 팔꿈치로 바닥을 지지하고 상체를 들어 올립니다. 복부를 당겨 허리가 과도하게 꺾이지 않도록 합니다. 2. 킥: 숨을 들이마시며 한쪽 무릎을 구부려 엉덩이 쪽으로 빠르게 두 번(Double Pulse) 킥합니다. 3. 교차: 숨을 내쉬며 다리를 바꾸어 반복합니다. 4. 주의: **골반이 흔들리지 않도록** 코어를 고정하고, 둔근의 수축에 집중합니다.",스프링 없음,8+8,"Inhale double kick, Exhale switch","Return to Life p.50"
14,더블 레그 킥,Double Leg Kick,"대둔근, 햄스트링, 척주기립근","대흉근, 전면 삼각근","1. 준비: 엎드려 누워, 양손을 등 뒤에서 깍지 끼고 팔꿈치를 구부립니다. 고개는 한쪽으로 돌립니다. 2. 킥: 숨을 들이마시며 양 무릎을 구부려 엉덩이 쪽으로 빠르게 세 번(Triple Pulse) 킥합니다. 3. 신전: 숨을 내쉬며 양팔을 뒤로 쭉 펴서 상체를 들어 올리고, 고개를 반대쪽으로 돌립니다. 4. 주의: 요추에서 과도한 신전이 일어나지 않도록 복부를 당깁니다.",스프링 없음,6,"Inhale triple kick, Exhale extend","Return to Life p.51"
15,넥 풀,Neck Pull,"복직근, 고관절 굴곡근","햄스트링, 요추 기립근","1. 준비: 등을 대고 누워 양손을 깍지 끼어 머리 뒤에 댑니다. 다리는 쭉 펴고 발끝을 몸 쪽으로 당깁니다. 2. 롤 업: 숨을 내쉬며 복부의 힘으로 척추를 C 커브 모양으로 말아 올라옵니다. 3. 전방 굴곡: 올라온 상태에서 상체를 앞으로 숙여 햄스트링을 늘립니다. 4. 롤 다운: 숨을 들이마시며 척추를 길게 펴고, 숨을 내쉬며 척추를 하나씩 말아 천천히 내려갑니다. 5. 주의: 올라올 때 턱이 들리지 않도록 합니다.",스프링 없음,6,"Exhale roll up, Inhale top, Exhale roll down","Return to Life p.36"
16,시저,Scissors,"복직근, 복사근, 장요근","햄스트링","1. 준비: 등을 대고 누워, 머리, 목, 어깨를 들어 올리고, 양 다리를 천장으로 90도 듭니다. 양손으로 한쪽 다리를 잡습니다. 2. 교차 & 펌핑: 숨을 내쉬며 다리를 교차하고, 숨을 들이마시며 멈춥니다. 3. 주의: 다리를 내릴 때 허리가 뜨지 않도록 복부를 강하게 수축합니다.",스프링 없음,6+6,"Exhale switch, Inhale hold","Return to Life p.42"
17,바이시클,Bicycle,"복직근, 복사근, 장요근","햄스트링","1. 준비: 시저와 동일하게 자세를 취합니다. 2. 사이클: 숨을 내쉬며 한쪽 무릎을 구부려 가슴 쪽으로 당기고, 반대쪽 다리는 앞으로 뻗습니다. 3. 교차: 자전거 타듯이 빠르게 동작을 반복합니다. 4. 주의: 다리의 움직임이 고관절과 무릎의 유연성을 기르는 동시에 복부의 통제력으로 몸통의 안정성을 유지합니다.",스프링 없음,6+6,"Exhale bend, Inhale stretch","Jay Grimes Bicycle"
18,숄더 브릿지,Shoulder Bridge,"대둔근, 햄스트링, 척주기립근","고관절 굴곡근","1. 준비: 등을 대고 누워 무릎을 세우고, 발은 엉덩이 너비로 벌립니다. 팔은 몸통 옆에 둡니다. 2. 롤 업: 숨을 내쉬며 꼬리뼈부터 척추를 하나씩 들어 올려 엉덩이를 천장으로 듭니다. 3. 유지: 엉덩이를 든 상태에서 호흡을 유지하며 둔근의 수축에 집중합니다. 4. 롤 다운: 숨을 들이마시며 척추를 하나씩 내려놓습니다.",스프링 없음,6,"Exhale lift, Inhale hold, Exhale roll down","Return to Life p.78"
19,스파인 트위스트,Spine Twist,"복사근, 외복사근","요방형근","1. 준비: 다리를 앞으로 쭉 펴고 앉아, 팔을 옆으로 뻗습니다. 2. 트위스트: 숨을 내쉬며 척추를 길게 늘린 상태에서 몸통을 한쪽 방향으로 최대한 회전시킵니다. 3. 돌아오기: 숨을 들이마시며 중앙으로 돌아옵니다. 4. 주의: 골반이 움직이지 않도록 고정하고, **척추의 신전**을 유지합니다.",스프링 없음,6+6,"Exhale twist, Inhale center","Return to Life p.24"
20,잭 나이프,Jackknife,"복직근, 대둔근, 햄스트링",척주기립근,"1. 준비: 등을 대고 누워 다리를 천장으로 90도 듭니다. 팔은 몸통 옆에 둡니다. 2. 롤 오버: 숨을 내쉬며 복부의 힘으로 엉덩이를 들어 올려 다리를 머리 위로 보냅니다. 3. 잭 나이프: 숨을 들이마시며 다리를 천장으로 곧게 뻗어 올립니다. 4. 롤 다운: 숨을 내쉬며 척추를 하나씩 분절하여 천천히 내려놓고, 다리를 45도 각도로 내립니다. 5. 주의: 목에 힘이 들어가지 않도록 주의합니다.",스프링 없음,6,"Exhale roll over, Inhale lift, Exhale roll down","Return to Life p.45"
21,사이드 킥,Side Kick,"중둔근, 복사근, 고관절 굴곡근","내전근","1. 준비: 옆으로 누워, 팔꿈치로 머리를 지지하고, 다리는 몸통과 일직선이 되도록 합니다. 2. 킥 포워드: 숨을 들이마시며 위쪽 다리를 앞으로 길게 뻗어 두 번 킥(Double Pulse)합니다. 3. 킥 백: 숨을 내쉬며 다리를 뒤로 길게 뻗어 두 번 킥합니다. 4. 주의: 동작 내내 **골반이 앞뒤로 흔들리지 않도록** 복사근과 중둔근을 사용하여 몸통을 단단히 고정합니다.",스프링 없음,6+6,"Inhale forward, Exhale back","Return to Life p.46"
22,사이드 킥 닐링,Side Kick Kneeling,"중둔근, 복사근, 고관절 굴곡근","내전근","1. 준비: 무릎 꿇고 옆으로 앉아, 아래쪽 손은 바닥에 댑니다. 위쪽 다리는 골반 높이로 폅니다. 2. 킥 포워드: 숨을 들이마시며 위쪽 다리를 앞으로 길게 뻗어 두 번 킥합니다. 3. 킥 백: 숨을 내쉬며 다리를 뒤로 길게 뻗어 두 번 킥합니다. 4. 주의: 몸통이 흔들리지 않도록 코어 안정성에 집중합니다.",스프링 없음,6+6,"Inhale forward, Exhale back","Romana Kryzanowska Mat 1998"
23,핫토이,Hot Toy,"중둔근, 복사근, 고관절 굴곡근","내전근","1. 준비: 사이드 킥과 동일하게 옆으로 누워, 위쪽 다리를 천장으로 90도 듭니다. 2. 서클: 숨을 내쉬며 다리로 원을 그립니다. 3. 방향: 3번은 한 방향, 3번은 반대 방향으로 원을 그립니다. 4. 주의: **다리의 움직임**이 고관절에서만 일어나도록 하고, 골반이 흔들리지 않도록 코어를 고정합니다.",스프링 없음,3+3,"Exhale circle, Inhale return","Return to Life p.47"
24,레그 풀 프론트,Leg Pull Front,"복직근, 전거근, 대퇴사두근, 코어","종아리, 햄스트링, 아킬레스건","1. 준비: 플랭크 자세를 취하되, 손은 어깨 밑, 발은 모아서 둡니다. 2. 올리기: 숨을 내쉬며 한쪽 다리를 천장으로 곧게 들어 올립니다. 3. 내리기: 숨을 들이마시며 천천히 저항하며 다리를 내립니다. 4. 주의: 다리를 들 때 허리가 꺾이지 않도록 복부를 당깁니다.",스프링 없음,4+4,"Exhale lift, Inhale down","Return to Life p.53"
25,레그 풀 백,Leg Pull Back,"대둔근, 햄스트링, 코어",장요근,"1. 준비: 리버스 플랭크(Reverse Plank) 자세를 취합니다. 손은 어깨 밑, 발은 모아서 둡니다. 2. 올리기: 숨을 내쉬며 한쪽 다리를 천장으로 곧게 들어 올립니다. 3. 내리기: 숨을 들이마시며 천천히 저항하며 다리를 내립니다. 4. 주의: **엉덩이가 떨어지지 않도록** 둔근과 햄스트링을 강하게 수축합니다.",스프링 없음,4+4,"Exhale lift, Inhale down","Return to Life p.54"
26,푸시 업,Push Up,"삼두근, 전거근, 복직근",대흉근,"1. 준비: 플랭크 자세를 취하되, 손은 어깨 밑, 발은 모아서 둡니다. 2. 푸시 업: 숨을 들이마시며 팔꿈치를 구부려 상체를 내립니다. 3. 푸시: 숨을 내쉬며 삼두근과 전거근의 힘으로 팔을 쭉 펴서 올라옵니다. 4. 주의: 몸통이 흔들리지 않도록 코어를 고정합니다.",스프링 없음,6,"Inhale down, Exhale up","Joseph Pilates Original"
27,하프 롤 다운,Half Roll Down,"복직근, 복사근, 고관절 굴곡근","척주기립근","1. 준비: 무릎을 세우고 앉아, 양손은 허벅지 뒤를 잡거나 앞으로 나란히 폅니다. 2. 롤 백: 숨을 내쉬며 복부의 힘으로 척추를 C 커브 모양으로 말아 뒤로 기울입니다. 3. 돌아오기: 숨을 들이마시며 복부의 통제력으로 돌아옵니다. 4. 주의: 허리가 꺾이지 않도록 복부를 강하게 수축합니다.",스프링 없음,8,"Exhale back, Inhale return","Jay Grimes 2024"
28,티저,Teaser,"복직근, 고관절 굴곡근","햄스트링","1. 준비: 등을 대고 누워, 무릎을 구부려 **테이블 탑** 자세를 취합니다. 팔은 머리 위로 뻗습니다. 2. 올리기: 숨을 내쉬며 복부의 힘으로 상체와 다리를 동시에 들어 올립니다. 3. 밸런스: 상체와 다리가 **V자** 모양이 되도록 균형을 잡습니다. 4. 내리기: 숨을 들이마시며 천천히 돌아옵니다. 5. 주의: 허리가 꺾이지 않도록 복부를 강하게 수축합니다.",스프링 없음,6,"Exhale lift, Inhale return","Return to Life p.37"
29,스위밍,Swimming,"척주기립근, 대둔근, 햄스트링, 어깨 후면 근육","복직근, 대흉근","1. 준비: 엎드려 누워, 팔과 다리를 쭉 펴서 들어 올립니다. 2. 교차 & 펌핑: 팔과 다리를 번갈아 들어 올리고 내리며 물 속에서 수영하듯 빠르게 움직입니다. 3. 호흡: 4번 들이마시고 – 4번 내쉬는 호흡을 8세트 반복합니다. 4. 집중: **후면 체인(등, 둔부, 햄스트링)**을 사용하여 몸통의 안정성을 유지하고, 머리가 떨어지지 않도록 합니다.",스프링 없음,8 sets,"4 Inhale, 4 Exhale","Return to Life p.85"
30,하이 브릿지,High Bridge,"대둔근, 햄스트링, 척주기립근","고관절 굴곡근","1. 준비: 숄더 브릿지와 동일하게 시작합니다. 2. 롤 업: 숨을 내쉬며 꼬리뼈부터 척추를 하나씩 들어 올려 엉덩이를 천장으로 듭니다. 3. 올리기: 엉덩이를 든 상태에서 한쪽 다리를 천장으로 곧게 뻗어 올립니다. 4. 내리기: 숨을 들이마시며 다리를 내리고, 숨을 내쉬며 척추를 하나씩 내려놓습니다. 5. 주의: **골반의 수평**을 유지하며 둔근의 수축에 집중합니다.",스프링 없음,4+4,"Exhale lift, Inhale down","Romana Kryzanowska Mat 1998"
31,씰,Seal,"복직근, 척주기립근 (마사지)","요추 기립근","1. 준비: 무릎을 구부려 앉아 손을 발목 안쪽으로 넣어 발의 바깥쪽을 잡습니다. 발바닥을 서로 마주 보게 합니다. C 커브를 유지합니다. 2. 클랩 & 굴러가기: **발뒤꿈치로 짝짝짝 2번 박수(Clap)**를 친 후, 숨을 들이마시며 등 뒤로 굴러가 견갑골까지 닿게 합니다. 3. 클랩 & 올라오기: 굴러간 상태에서 다시 짝짝짝 2번 박수를 친 후, 숨을 내쉬며 복부의 힘으로 다시 앞으로 굴러와 발을 바닥에 대지 않고 균형을 잡습니다. 4. 주의: 목에 힘을 빼고 척추를 마사지하듯 연속적인 움직임을 유지합니다.",스프링 없음,6-8,"Inhale back, Exhale forward + clap","Jay Grimes 'Like a puppy'"
32,크랩,Crab,"복직근, 대둔근, 척주기립근",요추 기립근 (마사지),"1. 준비: 다리를 X자로 교차한 채 손으로 발목을 잡습니다. 턱을 가슴 쪽으로 당겨 C 커브를 유지합니다. 2. 뒤로 굴러가기: 숨을 내쉬며 머리가 바닥에 닿도록 뒤로 굴러갑니다. 3. 앞으로 굴러오기: 숨을 들이마시며 복부의 힘으로 다시 앞으로 굴러와 발을 바닥에 대지 않고 균형을 잡습니다. 4. 주의: **크랩**처럼 옆으로 굴러가지 않도록 척추의 중심을 유지합니다.",스프링 없음,6-8,"Exhale back, Inhale forward","Return to Life p.55"
33,스완,Swan,"척주기립근, 대둔근, 햄스트링","복직근, 장요근","1. 준비: 엎드려 누워, 양손을 가슴 옆 바닥에 댑니다. 2. 신전: 숨을 들이마시며 팔의 힘으로 상체를 들어 올립니다. 3. 돌아오기: 숨을 내쉬며 복부의 통제력으로 천천히 돌아옵니다. 4. 주의: 요추에서 과도한 신전이 일어나지 않도록 복부를 당깁니다.",스프링 없음,6,"Inhale lift, Exhale lower","Return to Life p.80"
34,레그 풀 백,Leg Pull Back,"대둔근, 햄스트링, 코어",장요근,"1. 준비: 리버스 플랭크(Reverse Plank) 자세를 취합니다. 손은 어깨 밑, 발은 모아서 둡니다. 2. 올리기: 숨을 내쉬며 한쪽 다리를 천장으로 곧게 들어 올립니다. 3. 내리기: 숨을 들이마시며 천천히 저항하며 다리를 내립니다. 4. 주의: **엉덩이가 떨어지지 않도록** 둔근과 햄스트링을 강하게 수축합니다.",스프링 없음,4+4,"Exhale lift, Inhale down","Return to Life p.54"
