Order,Exercise_Name_KR,Exercise_Name_EN,Main_Strengthen_Muscles (주요 강화 근육),Main_Stretch_Muscles (주요 스트레칭 근육),How_to_Perform_Step_by_Step (상세 동작 설명),Spring_Traditional,Reps,Breathing_Pattern,References
11,쇼트 스파인,Short Spine,"복직근, 햄스트링, 대둔근","척주기립근","1. 준비: 롱 스파인과 동일하게 발꿈치에 스트랩을 걸고 누워서 시작합니다. 2. 올리기: 숨을 들이마시며 다리를 천장으로 쭉 뻗어 척추를 길게 늘리며 엉덩이를 들어 올립니다. 3. 내리기: 숨을 내쉬며 척추를 하나씩 분절하여 천천히 내려오면서 다리를 45도 V자로 내립니다. 4. 주의: 동작 내내 복부의 통제력을 유지하고, 허리에 무리가 가지 않도록 척추 분절에 집중합니다.",1 Red + 1 Blue,6,"올라갈 때 들이마시기 – 내려올 때 내쉬기","Romana Long Spine"
12,반원,Semicircle,"복직근, 햄스트링, 대둔근","고관절 굴곡근, 요추","1. 준비: 누워서 스트랩을 벗고, 다리를 천장으로 쭉 뻗어 발을 풋바에 댑니다. 2. 내려가기: 숨을 내쉬며 복부의 힘으로 다리를 천천히 반원을 그리며 발판 아래로 내립니다. 3. 올라오기: 숨을 들이마시며 다시 반원을 그리며 다리를 풋바 쪽으로 올립니다. 4. 방향: 3번은 풋바 쪽으로 반원을 그리고, 3번은 캐리지 쪽으로 반원을 그립니다. 5. 주의: 동작 내내 허리가 뜨지 않도록 복부를 강하게 바닥에 붙입니다.",1 Red,3+3,"반원 그릴 때 내쉬기","Vintage Pilates"
13,가슴 열기,Chest Expansion,"광배근, 후면 삼각근, 하부 승모근","대흉근, 전면 삼각근","1. 준비: 무릎을 꿇고 서서, 양손으로 짧은 스트랩을 잡습니다. 2. 당기기: 숨을 내쉬며 팔을 뒤로 쭉 뻗어 광배근과 하부 승모근을 사용하여 스트랩을 당깁니다. 3. 유지 & 회전: 당긴 상태를 유지하며 고개를 한쪽으로 돌립니다. 4. 돌아오기: 숨을 들이마시며 고개를 중앙으로 돌린 후, 천천히 팔을 풀며 돌아옵니다. 5. 주의: 팔을 당길 때 상체가 앞으로 기울어지지 않도록 코어를 고정하고, **흉추 신전**을 유지합니다.",1 Blue each,6,"Exhale pull, Inhale return","Return to Life p.70"
14,아랫배 당기기 1,Pulling Straps 1,"광배근, 후면 삼각근, 하부 승모근","대흉근, 전면 삼각근","1. 준비: 캐리지 위에 긴 박스(Long Box)를 놓고 엎드려 눕습니다. 양손으로 긴 스트랩을 잡아 **T자 모양**을 만들며 팔을 쭉 폅니다. 2. 당기기: 숨을 내쉬며 광배근의 힘으로 팔을 몸통 옆으로 당겨 스트랩을 아래로 누릅니다. 3. 돌아오기: 숨을 들이마시며 천천히 저항하며 팔을 올립니다. 4. 집중: 팔을 당길 때 복부를 바닥에서 들어 올려 허리가 꺾이지 않도록 주의합니다.",1 Red,8,"Exhale pull, Inhale return","Romana Kryzanowska 1980"
15,아랫배 당기기 2,Pulling Straps 2,"전거근, 복직근, 삼두근","후면 삼각근, 광배근","1. 준비: Pulling Straps 1과 동일하게 엎드려 눕습니다. 팔을 앞으로 나란히 뻗어 스트랩을 잡습니다. 2. 당기기: 숨을 내쉬며 팔을 몸통 옆으로 당겨 견갑골을 후인/하강시킵니다. 3. 흉추 신전: 당긴 상태에서 척추 기립근을 사용하여 상체를 살짝 들어 올립니다(Swan). 4. 돌아오기: 숨을 들이마시며 천천히 돌아옵니다. 5. 주의: 팔을 당길 때 어깨가 으쓱하지 않도록 주의합니다.",1 Red,6,"Exhale pull, Inhale return","Jay Grimes 2024"
16,스완,Swan,"척주기립근, 대둔근, 햄스트링","복직근, 장요근","1. 준비: 캐리지 위에 엎드려 누워, 양손을 풋바 위에 둡니다. 2. 신전: 숨을 들이마시며 팔의 힘으로 풋바를 앞으로 밀어내고, 척추 기립근을 사용하여 상체를 들어 올립니다. 3. 돌아오기: 숨을 내쉬며 복부의 통제력을 사용해 천천히 돌아옵니다. 4. 주의: 요추에서 과도한 신전이 일어나지 않도록 복부를 당겨 허리를 보호합니다.",1 Red,6,"Inhale lift, Exhale lower","Return to Life p.80"
17,수영,Swimming,"척주기립근, 대둔근, 햄스트링, 어깨 후면 근육","복직근, 대흉근","1. 준비: 캐리지 위에 엎드려 누워, 팔과 다리를 쭉 펴서 들어 올립니다. 2. 교차 & 펌핑: 팔과 다리를 번갈아 들어 올리고 내리며 물 속에서 수영하듯 빠르게 움직입니다. 3. 호흡: 4번 들이마시고 – 4번 내쉬는 호흡을 8세트 반복합니다. 4. 집중: **후면 체인(등, 둔부, 햄스트링)**을 사용하여 몸통의 안정성을 유지하고, 머리가 떨어지지 않도록 합니다.",1 Red,8 sets,"4 Inhale, 4 Exhale","Return to Life p.85"
18,넥 풀,Neck Pull,"복직근, 고관절 굴곡근","햄스트링, 요추 기립근","1. 준비: 등을 대고 누워 양손을 깍지 끼어 머리 뒤에 댑니다. 다리는 쭉 펴고 발끝을 몸 쪽으로 당깁니다. 2. 롤 업: 숨을 내쉬며 복부의 힘으로 척추를 C 커브 모양으로 말아 올라옵니다. 3. 전방 굴곡: 올라온 상태에서 상체를 앞으로 숙여 햄스트링을 늘립니다. 4. 롤 다운: 숨을 들이마시며 척추를 길게 펴고, 숨을 내쉬며 척추를 하나씩 말아 천천히 내려갑니다. 5. 주의: 올라올 때 턱이 들리지 않도록 합니다.",1 Red + 1 Blue,6,"Exhale roll up, Inhale top, Exhale roll down","Return to Life p.36"
19,업 스트레치,Up Stretch,"대퇴사두근, 삼두근, 전거근, 코어","종아리, 햄스트링, 아킬레스건","1. 준비: 풋바를 바라보고 서서, 양손을 풋바에 댑니다. 발끝은 어깨받이에 올립니다. 2. 신전: 숨을 내쉬며 팔을 쭉 펴고, 둔부와 복부의 힘으로 몸통을 **역삼각형** 모양으로 만듭니다. 3. 돌아오기: 숨을 들이마시며 천천히 돌아옵니다. 4. 주의: 손목이 꺾이지 않도록 주의하고, 어깨가 귀에 닿지 않도록 견갑골을 안정시킵니다.",1 Red,6,"Exhale push, Inhale return","Romana Kryzanowska 1980"
20,롱 스트레치,Long Stretch,"복직근, 전거근, 대퇴사두근, 코어","요추 기립근, 햄스트링","1. 준비: 풋바를 바라보고 플랭크 자세를 취하되, 발끝은 어깨받이에, 양손은 풋바에 댑니다. 2. 밀어내기: 숨을 들이마시며 팔다리를 쭉 펴서 캐리지를 뒤로 밀어냅니다. 3. 돌아오기: 숨을 내쉬며 복부의 힘으로 천천히 끌어당겨 돌아옵니다. 4. 주의: 머리부터 발끝까지 **평평한 판자**처럼 일직선을 유지합니다.",1 Red,8,"Inhale out, Exhale return","Return to Life p.83"
21,다운 스트레치,Down Stretch,"척주기립근, 대둔근, 코어","복직근, 대퇴사두근","1. 준비: 롱 스트레치와 동일하게 자세를 취합니다. 2. 신전: 숨을 들이마시며 풋바를 아래로 누르며 **흉추를 신전**하여 상체를 들어 올립니다(Swan 자세와 유사). 3. 돌아오기: 숨을 내쉬며 다시 플랭크 자세로 돌아옵니다. 4. 주의: 요추가 과도하게 꺾이지 않도록 복부를 당깁니다.",1 Red,6,"Inhale lift, Exhale return","Return to Life p.84"
22,엘리펀트,Elephant,"복직근, 햄스트링, 종아리 스트레칭","척주기립근, 고관절 굴곡근","1. 준비: 풋바를 바라보고 서서, 발은 캐리지 위에, 양손은 풋바 위에 댑니다. 무릎을 곧게 폅니다. 2. 밀어내기: 숨을 내쉬며 복부의 힘으로 캐리지를 뒤로 밀어냅니다. 3. 돌아오기: 숨을 들이마시며 복부의 힘으로 천천히 끌어당겨 돌아옵니다. 4. 주의: 척추를 둥글게(C 커브) 유지하며 복부의 수축에 집중합니다.",1 Red + 1 Blue,8,"Exhale out, Inhale return","Return to Life p.82"
23,니 스트레치,Knee Stretches - Round Back,"복직근, 전거근, 대퇴사두근, 코어","요추 기립근","1. 준비: 무릎을 꿇고 캐리지 위에 앉아, 발끝은 어깨받이에 댑니다. 양손은 풋바에 댑니다. 2. 둥근 등: 척추를 둥글게(C 커브) 말고, 턱을 가슴 쪽으로 당깁니다. 3. 밀어내기: 숨을 내쉬며 대퇴사두근의 힘으로 캐리지를 뒤로 밀어냅니다. 4. 돌아오기: 숨을 들이마시며 복부의 힘으로 끌어당겨 돌아옵니다. 5. 주의: 몸통의 **C 커브**를 유지하며 복부의 수축에 집중합니다.",1 Red + 1 Blue,8,"Exhale push, Inhale return","Romana Kryzanowska 1980"
24,니 스트레치 플랫 등,Knee Stretches - Flat Back,"대둔근, 햄스트링, 코어","고관절 굴곡근","1. 준비: 니 스트레치와 동일하게 무릎 꿇고 풋바를 잡습니다. 2. 평평한 등: 척추를 중립 상태(Flat Back)로 곧게 폅니다. 3. 밀어내기: 숨을 내쉬며 둔부와 햄스트링의 힘으로 캐리지를 뒤로 밀어냅니다. 4. 돌아오기: 숨을 들이마시며 코어의 통제력으로 돌아옵니다. 5. 주의: 척추의 **중립**을 유지하며 둔부의 활성화에 집중합니다.",1 Red + 1 Blue,8,"Exhale push, Inhale return","Romana Kryzanowska 1980"
25,니 스트레치 아치 등,Knee Stretches - Arched Back,"요추 기립근, 대둔근",복직근,"1. 준비: 니 스트레치와 동일하게 무릎 꿇고 풋바를 잡습니다. 2. 아치 등: 흉추를 신전하여 등을 살짝 아치 모양으로 만듭니다. 3. 밀어내기: 숨을 내쉬며 척추 기립근과 둔근의 힘으로 캐리지를 뒤로 밀어냅니다. 4. 돌아오기: 숨을 들이마시며 코어의 통제력으로 돌아옵니다. 5. 주의: 허리가 과도하게 꺾이지 않도록 복부를 당깁니다.",1 Red + 1 Blue,8,"Exhale push, Inhale return","Romana Kryzanowska 1980"
26,프론트 스플릿,Front Split,"대퇴사두근, 햄스트링, 코어","고관절 굴곡근","1. 준비: 리포머 앞에 서서 한 발은 바닥에, 반대쪽 발은 숄더 레스트에 댑니다. 양손은 풋바를 잡습니다. 2. 스플릿: 숨을 내쉬며 숄더 레스트 위의 발로 캐리지를 뒤로 밀어냅니다. 3. 돌아오기: 숨을 들이마시며 햄스트링과 둔근의 힘으로 천천히 돌아옵니다. 4. 주의: 골반이 앞뒤로 흔들리지 않도록 코어를 고정하고, **고관절의 신전**에 집중합니다.",1 Red,4+4,"Exhale out, Inhale return","Romana Split Series"
27,사이드 스플릿,Side Split,"중둔근, 내전근","장경인대(IT Band), TFL","1. 준비: 리포머에 옆으로 서서 한 발은 숄더 레스트에, 반대쪽 발은 고정된 프레임에 댑니다. 양손은 풋바를 잡습니다. 2. 벌리기: 숨을 들이마시며 중둔근과 내전근의 통제력으로 다리를 옆으로 벌립니다. 3. 모으기: 숨을 내쉬며 내전근의 힘으로 천천히 다리를 모아 돌아옵니다. 4. 주의: 몸통이 옆으로 기울어지지 않도록 코어를 강하게 잡습니다.",1 Red + 1 Blue,4+4,"Inhale open, Exhale close","Romana Split Series"
28,롱 박스 아랫배 당기기 1,Pulling Straps Long Box 1,"광배근, 후면 삼각근","대흉근, 전면 삼각근","1. 준비: 캐리지 위에 긴 박스(Long Box)를 놓고 엎드려 누워, 양손으로 긴 스트랩을 잡아 T자 모양을 만듭니다. 2. 당기기: 숨을 내쉬며 광배근의 힘으로 팔을 몸통 옆으로 당겨 스트랩을 아래로 누릅니다. 3. 돌아오기: 숨을 들이마시며 천천히 저항하며 팔을 올립니다. 4. 집중: 팔을 당길 때 복부를 바닥에서 들어 올려 허리가 꺾이지 않도록 주의합니다.",1 Red,8,"Exhale pull, Inhale return","Romana Kryzanowska 1980"
29,롱 박스 아랫배 당기기 2,Pulling Straps Long Box 2,"전거근, 복직근, 삼두근","후면 삼각근, 광배근","1. 준비: Pulling Straps 1과 동일하게 엎드려 눕습니다. 팔을 앞으로 나란히 뻗어 스트랩을 잡습니다. 2. 당기기: 숨을 내쉬며 팔을 몸통 옆으로 당겨 견갑골을 후인/하강시킵니다. 3. 흉추 신전: 당긴 상태에서 척추 기립근을 사용하여 상체를 살짝 들어 올립니다(Swan). 4. 돌아오기: 숨을 들이마시며 천천히 돌아옵니다. 5. 주의: 팔을 당길 때 어깨가 으쓱하지 않도록 주의합니다.",1 Red,6,"Exhale pull, Inhale return","Jay Grimes 2024"
30,쇼트 박스 라운드 백,Short Box - Round Back,"복직근, 고관절 굴곡근, 복사근","척주기립근, 햄스트링","1. 준비: 쇼트 박스를 캐리지 위에 놓고 앉아, 발을 풋 스트랩에 겁니다. 양손은 가슴 앞에 둡니다. 2. 롤 백: 숨을 내쉬며 척추를 둥글게(C 커브) 말아 뒤로 기울입니다. 3. 롤 업: 숨을 들이마시며 복부의 통제력으로 척추를 하나씩 쌓아 올라옵니다. 4. 집중: 꼬리뼈부터 정수리까지 척추 분절에 집중합니다.",1 Red + 1 Blue,6,"Exhale back, Inhale up","Return to Life p.72"
31,쇼트 박스 스트레이트 백,Short Box - Flat Back,"척주기립근, 복횡근, 대둔근","고관절 굴곡근","1. 준비: 쇼트 박스에 앉아, 등은 곧게 펴고(중립) 발은 풋 스트랩에 겁니다. 2. 기울이기: 숨을 내쉬며 몸통 전체를 곧게 편 상태로 뒤로 기울입니다. 3. 돌아오기: 숨을 들이마시며 복부와 척추 기립근의 힘으로 돌아옵니다. 4. 주의: 엉덩이가 들리지 않도록 고관절을 중심으로 몸통을 회전합니다.",1 Red + 1 Blue,6,"Exhale back, Inhale up","Return to Life p.73"
32,쇼트 박스 트위스트,Short Box - Twist,"복사근, 외복사근","척추 기립근","1. 준비: 쇼트 박스에 앉아, 양손을 머리 뒤에 댑니다. 2. 비틀기: 숨을 내쉬며 척추를 길게 늘린 상태에서 몸통을 한쪽 방향으로 최대한 비틉니다. 3. 돌아오기: 숨을 들이마시며 중앙으로 돌아옵니다. 4. 주의: 골반이 움직이지 않도록 고정합니다.",1 Red + 1 Blue,6+6,"Exhale twist, Inhale center","Return to Life p.74"
33,쇼트 박스 사이드 밴드,Short Box - Side Bend,"복사근, 중둔근","광배근, 요방형근","1. 준비: 쇼트 박스에 앉아, 한쪽 다리는 곧게 펴고 반대쪽 무릎은 구부립니다. 한 손은 머리 뒤, 다른 손은 박스 위에 둡니다. 2. 측면 굴곡: 숨을 들이마시며 상체를 옆으로 기울입니다. 3. 늘리기: 숨을 내쉬며 위쪽 팔을 머리 위로 길게 뻗어 측면을 늘립니다. 4. 돌아오기: 숨을 들이마시며 복사근의 힘으로 돌아옵니다. 5. 주의: 골반을 고정하고 몸통이 앞뒤로 기울지 않도록 합니다.",1 Red + 1 Blue,6+6,"Inhale bend, Exhale reach, Inhale return","Return to Life p.75"
34,숏 스파인,Short Spine,"복직근, 대둔근, 햄스트링","척주기립근","1. 준비: 누워서 발꿈치에 스트랩을 걸고, 무릎을 가슴 쪽으로 당겨 **테이블 탑** 자세를 취합니다. 2. 롤 오버: 숨을 내쉬며 복부의 힘으로 엉덩이를 들어 올려 다리를 천장으로 뻗습니다. 3. 분절 & 내리기: 숨을 들이마시며 척추를 하나하나 분절하여 캐리지를 밀어내며 내려옵니다. 4. 주의: 목에 힘이 들어가지 않도록 주의하고, 척추의 부드러운 분절에 집중합니다.",1 Red + 1 Blue,6,"Exhale roll over, Inhale roll down","Romana Kryzanowska 1998"
35,하프 롤 다운,Half Roll Down,"복직근, 복사근, 고관절 굴곡근","척주기립근","1. 준비: 풋바를 마주보고 앉아 양손으로 풋바를 잡습니다. 무릎은 구부리고 발은 바닥에 둡니다. 2. 롤 백: 숨을 내쉬며 복부의 힘으로 척추를 C 커브 모양으로 말아 뒤로 기울입니다. 3. 돌아오기: 숨을 들이마시며 복부의 통제력으로 돌아옵니다. 4. 주의: 허리가 꺾이지 않도록 복부를 강하게 수축합니다.",1 Red + 1 Blue,8,"Exhale back, Inhale return","Jay Grimes 2024"
36,아킬레스 스트레치,Achilles Stretch,"전경골근, 코어","비복근/가자미근, 아킬레스건","1. 준비: 풋바를 바라보고 서서, 발끝은 어깨받이에, 양손은 풋바 위에 댑니다. 2. 밀어내기: 숨을 내쉬며 다리를 쭉 펴서 캐리지를 밀어냅니다. 3. 발목 스트레칭: 펴진 상태에서 발꿈치를 아래로 내려 아킬레스건을 늘립니다. 4. 돌아오기: 숨을 들이마시며 발목을 당기고 무릎을 구부려 돌아옵니다.",1 Red,6,"Exhale push, Inhale stretch, Exhale return","Return to Life p.82"
37,런지,Lunge,"대둔근, 햄스트링, 대퇴사두근","고관절 굴곡근","1. 준비: 리포머 앞에 서서 한 발은 바닥에, 반대쪽 발은 숄더 레스트에 댑니다. 양손은 풋바를 잡습니다. 2. 런지: 숨을 내쉬며 숄더 레스트 위의 발로 캐리지를 뒤로 밀어내며 런지 자세를 취합니다. 3. 돌아오기: 숨을 들이마시며 둔근과 햄스트링의 힘으로 천천히 돌아옵니다. 4. 주의: 앞쪽 무릎이 발끝보다 앞으로 나가지 않도록 합니다.",1 Red,4+4,"Exhale lunge, Inhale return","Romana Lunge"
38,백 스플릿,Back Split,"대둔근, 햄스트링, 코어","고관절 굴곡근, 대퇴사두근","1. 준비: 리포머 앞에 등을 대고 서서 한 발은 바닥에, 반대쪽 발끝은 숄더 레스트에 댑니다. 양손은 풋바를 잡습니다. 2. 스플릿: 숨을 내쉬며 숄더 레스트 위의 발로 캐리지를 뒤로 밀어냅니다. 3. 돌아오기: 숨을 들이마시며 둔근과 햄스트링의 힘으로 천천히 돌아옵니다. 4. 집중: 골반의 수평을 유지하며 하체의 근력 강화에 집중합니다.",1 Red,4+4,"Exhale out, Inhale return","Romana Split Series"
39,힙 써클,Hip Circles,"중둔근, 복사근, 고관절 굴곡근","내전근","1. 준비: 누워서 발꿈치에 스트랩을 걸고, 다리를 천장으로 쭉 뻗습니다. 2. 서클: 숨을 내쉬며 다리를 벌려 원을 그리고, 숨을 들이마시며 다리를 모아 중앙으로 돌아옵니다. 3. 방향: 3번은 바깥에서 안으로, 3번은 안에서 바깥으로 원을 그립니다. 4. 주의: 동작 내내 골반이 흔들리지 않도록 코어를 강하게 잡습니다.",1 Red,3+3,"Exhale open, Inhale close","Return to Life p.42"
40,프로그,Frog,"내전근, 대둔근, 복직근","고관절 굴곡근","1. 준비: 누워서 발꿈치에 스트랩을 걸고, 무릎을 구부려 발꿈치를 서로 붙여 **다이아몬드** 모양을 만듭니다. 2. 뻗기: 숨을 내쉬며 내전근과 둔근의 힘으로 다리를 45도 각도로 쭉 뻗어냅니다. 3. 돌아오기: 숨을 들이마시며 천천히 무릎을 구부려 돌아옵니다. 4. 주의: 다리를 뻗을 때 허리가 뜨지 않도록 복부를 당깁니다.",1 Red,8,"Exhale extend, Inhale return","Return to Life p.38"
41,코르크 스크류,Corkscrew,"복사근, 복직근, 햄스트링","척주기립근","1. 준비: 누워서 발꿈치에 스트랩을 걸고, 다리를 천장으로 쭉 뻗습니다. 2. 서클: 숨을 내쉬며 다리 전체로 작은 원을 그립니다. 3. 롤 오버: 원을 그리면서 엉덩이를 들어 올려 다리를 머리 위로 보냅니다. 4. 분절 & 내리기: 숨을 들이마시며 척추를 하나씩 분절하여 내려오면서 반대 방향으로 원을 그립니다. 5. 주의: 복부의 통제력으로 몸통의 안정성을 유지하며, **척추의 트위스트**를 유도합니다.",1 Red + 1 Blue,3+3,"Exhale circle, Inhale roll down","Return to Life p.43"
42,숄더 브릿지,Shoulder Bridge,"대둔근, 햄스트링, 척주기립근","고관절 굴곡근","1. 준비: 누워서 발바닥을 풋바에 대고 무릎을 세웁니다. 팔은 몸통 옆에 둡니다. 2. 롤 업: 숨을 내쉬며 꼬리뼈부터 척추를 하나씩 들어 올려 **다이아몬드** 모양이 되도록 엉덩이를 천장으로 듭니다. 3. 밀어내기: 엉덩이를 든 상태에서 다리를 쭉 펴서 캐리지를 밀어냅니다. 4. 돌아오기: 숨을 들이마시며 무릎을 구부려 돌아온 후, 숨을 내쉬며 척추를 하나씩 내려놓습니다. 5. 주의: 엉덩이가 떨어지지 않도록 둔근을 강하게 수축합니다.",1 Red + 1 Blue,6,"Exhale lift, Inhale push, Exhale return","Return to Life p.78"
